name_en,id,id_alt,id_alt2,key_name,key_description,extra_notes
Rathian,9,,,EM001,EM001,
Pink Rathian,A,,,EM001_01,EM001_01,
Rathalos,1,,,EM002,EM002,
Azure Rathalos,B,,,EM002_01,EM002_01,
Diablos,C,,,EM007,EM007,
Black Diablos,D,,,EM007_01,EM007_01,
Kirin,E,,,EM011,EM011,
Kushala Daora,10,,,EM024,EM024,
Lunastra,11,,,EM026,EM026,
Teostra,12,,,EM027,EM027,
Lavasioth,13,,,EM036,EM036,
Deviljho,14,,,EM043,EM043,
Barroth,15,,,EM044,EM044,
Uragaan,16,,,EM045,EM045,
Anjanath,0,,,EM100,EM100,
Great Jagras,7,,,EM101,EM101,
Pukei-Pukei,18,,,EM102,EM102,
Nergigante,19,,,EM103,EM103,
Xeno'jiiva,1A,,,EM105,EM105,
Zorah Magdaros,4,36,37,EM106,EM106,Main body/magmacore1/magmacore2
Kulu-Ya-Ku,1B,,,EM107,EM107,
Jyuratodus,1D,,,EM108,EM108,
Tobi-Kadachi,1E,,,EM109,EM109,
Paolumu,1F,,,EM110,EM110,
Legiana,20,,,EM111,EM111,
Great Girros,21,,,EM112,EM112,
Odogaron,22,,,EM113,EM113,
Radobaan,23,,,EM114,EM114,
Vaal Hazak,24,,,EM115,EM115,
Dodogama,25,,,EM116,EM116,
Kulve Taroth,26,,,EM117,EM117,
Bazelgeuse,27,,,EM118,EM118,
Tzitzi-Ya-Ku,1C,,,EM107_01,EM120,
Behemoth,F,,,EM121_01,EM121,
Aptonoth,2,,,EMS001,EMS001,
Apceros,28,,,EMS002,EMS002,
Kelbi,29,2A,,EMS003,EMS003,
Mosswine,5,,,EMS004,EMS004,
Hornetaur,2B,,,EMS005,EMS005,
Vespoid,2C,,,EMS006,EMS006,
Gajau,6,,,EMS029,EMS029,
Jagras,3,,,EMS049,EMS049,
Mernos,2D,,,EMS050,EMS050,
Kestodon,8,2E,,EMS051_99,EMS051,Kestodon male and female
Raphinos,2F,,,EMS053,EMS053,
Shamos,30,,,EMS054,EMS054,
Barnos,31,,,EMS055,EMS055,
Girros,32,,,EMS056,EMS056,
Gastodon,34,,,EMS058,EMS058,
Noios,35,,,EMS059,EMS059,
Gajalaka,38,,,EMS061,,
Leshen,17,,,EM127_00,EM127,
Ancient Leshen,33,,,EM127_01,EM127_01,
Beotodus,4D,,,EM122_00,EM122,
Banbaro,4E,,,EM123_00,EM123,
Viper Tobi-Kadachi,47,,,EM109_01,EM109_01,
Nightshade Paolumu,48,,,EM110_01,EM110_01,
Coral Pukei-Pukei,45,,,EM102_01,EM102_01,
Barioth,3F,,,EM042_00,EM042,
Nargacuga,3E,,,EM037_00,EM037,
Glavenus,42,,,EM080_00,EM080,
Tigrex,3D,,,EM032_00,EM032,
Brachydios,41,,,EM063_00,EM063,
Shrieking Legiana,49,,,EM111_05,EM111_05,
Fulgur Anjanath,44,,,EM100_01,EM100_01,
Acidic Glavenus,43,,,EM080_01,EM080_01,
Ebony Odogaron,4A,,,EM113_01,EM113_01,
Velkhana,4F,,,EM124_00,EM124,
Seething Bazelgeuse,4C,,,EM118_05,EM118_05,
Blackveil Vaal Hazaak,4B,,,EM115_05,EM115_05,
Namielle,50,,,EM125_00,EM125,
Savage Deviljho,40,,,EM_TEST_00001,EM043_05,
Ruiner Nergigante,46,,,EM103_05,EM103_05,
Shara Ishvalda,51,,,EM126_00,EM126,
Zinogre,5E,,,EM057_00,EM057,
Stygian Zinogre,5F,,,EM057_01,EM057_01,
Safi'Jiiva,61,,,EM104,EM104,
Yian Garuga,5A,,,EM018_00,EM018,
Scarred Yian Garuga,63,,,EM018_05,EM018_05,
Brute Tigrex,5D,,,EM_TEST_00002,EM032_01,
Gold Rathian,58,,,EM001_02,EM001_02,
Silver Rathalos,59,,,EM002_02,EM002_02,
Rajang,5B,,,EM023,EM023,
Furious Rajang,5C,,,EM023_05,EM023_05,
Popo,52,,,EMS014_00,EMS014,
Cortos,55,,,EMS064_00,EMS064,
Wulg,54,,,EMS063_00,EMS063,
Boaboa,56,,,EMS061_01,,
Raging Brachydios,60,,,EM063_05,EM063_05,
