name_en,key_name,key_description
Rathian,EM001,EM001
Pink Rathian,EM001_01,EM001_01
Rathalos,EM002,EM002
Azure Rathalos,EM002_01,EM002_01
Diablos,EM007,EM007
Black Diablos,EM007_01,EM007_01
Kirin,EM011,EM011
Kushala Daora,EM024,EM024
Lunastra,EM026,EM026
Teostra,EM027,EM027
Lavasioth,EM036,EM036
Deviljho,EM043,EM043
Barroth,EM044,EM044
Uragaan,EM045,EM045
Unavailable,EM050,EM050
Anjanath,EM100,EM100
Great Jagras,EM101,EM101
Pukei-Pukei,EM102,EM102
Nergigante,EM103,EM103
Xeno'jiiva,EM105,EM105
Zorah Magdaros,EM106,EM106
Kulu-Ya-Ku,EM107,EM107
Jyuratodus,EM108,EM108
Tobi-Kadachi,EM109,EM109
Paolumu,EM110,EM110
Legiana,EM111,EM111
Great Girros,EM112,EM112
Odogaron,EM113,EM113
Radobaan,EM114,EM114
Vaal Hazak,EM115,EM115
Dodogama,EM116,EM116
Kulve Taroth,EM117,EM117
Bazelgeuse,EM118,EM118
Tzitzi-Ya-Ku,EM107_01,EM120
Behemoth,EM121_01,EM121
Leshen,EM127,EM127
Aptonoth,EMS001,EMS001
Apceros,EMS002,EMS002
Kelbi,EMS003,EMS003
Mosswine,EMS004,EMS004
Hornetaur,EMS005,EMS005
Vespoid,EMS006,EMS006
Gajau,EMS029,EMS029
Jagras,EMS049,EMS049
Mernos,EMS050,EMS050
Kestodon,EMS051_99,EMS051
Raphinos,EMS053,EMS053
Shamos,EMS054,EMS054
Barnos,EMS055,EMS055
Girros,EMS056,EMS056
Invalid messsage,EMS057,EMS057
Gastodon,EMS058,EMS058
Noios,EMS059,EMS059
Gajalaka,EMS061,
Leshen,EM127_00,EM127
Ancient Leshen,EM127_01,EM127_01
