id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon
1,Leather Headgear,1,head,both,0,0,0,2,38,68,2,0,0,0,0
2,Leather Mail,1,chest,both,0,0,0,2,38,68,2,0,0,0,0
3,Leather Gloves,1,arms,both,0,0,0,2,38,68,2,0,0,0,0
4,Leather Belt,1,waist,both,0,0,0,2,38,68,2,0,0,0,0
5,Leather Trousers,1,legs,both,0,0,0,2,38,68,2,0,0,0,0
6,Chainmail Headgear,1,head,both,0,0,0,2,38,68,0,2,0,0,0
7,Chainmail Vest,1,chest,both,0,0,0,2,38,68,0,2,0,0,0
8,Chainmail Gloves,1,arms,both,0,0,0,2,38,68,0,2,0,0,0
9,Chainmail Belt,1,waist,both,0,0,0,2,38,68,0,2,0,0,0
10,Chainmail Trousers,1,legs,both,0,0,0,2,38,68,0,2,0,0,0
11,Hunter's Headgear,1,head,both,0,0,0,6,42,72,2,2,0,0,0
12,Hunter's Mail,1,chest,both,0,0,0,6,42,72,2,2,0,0,0
13,Hunter's Vambraces,1,arms,both,0,0,0,6,42,72,2,2,0,0,0
14,Hunter's Coil,1,waist,both,0,0,0,6,42,72,2,2,0,0,0
15,Hunter's Greaves,1,legs,both,0,0,0,6,42,72,2,2,0,0,0
16,Bone Helm,1,head,both,0,0,0,6,42,72,2,0,2,0,2
17,Bone Mail,1,chest,both,0,0,0,6,42,72,2,0,2,0,2
18,Bone Vambraces,1,arms,both,0,0,0,6,42,72,2,0,2,0,2
19,Bone Coil,1,waist,both,0,0,0,6,42,72,2,0,2,0,2
20,Bone Greaves,1,legs,both,0,0,0,6,42,72,2,0,2,0,2
21,Vespoid Helm,1,head,both,0,0,0,8,44,74,-2,1,1,1,2
22,Vespoid Mail,1,chest,both,0,0,0,8,44,74,-2,1,1,1,2
23,Vespoid Vambraces,1,arms,both,0,0,0,8,44,74,-2,1,1,1,2
24,Vespoid Coil,1,waist,both,0,0,0,8,44,74,-2,1,1,1,2
25,Vespoid Greaves,1,legs,both,0,0,0,8,44,74,-2,1,1,1,2
26,Kestodon Guards,1,arms,both,0,0,0,12,48,78,4,0,0,0,0
27,Gajau Boots,1,legs,both,0,0,0,12,48,78,0,5,0,0,0
28,Jagras Helm,1,head,both,0,0,0,8,44,74,-2,2,-1,-1,1
29,Jagras Mail,1,chest,both,0,0,0,8,44,74,-2,2,-1,-1,1
30,Jagras Vambraces,1,arms,both,0,0,0,8,44,74,-2,2,-1,-1,1
31,Jagras Coil,1,waist,both,0,0,0,8,44,74,-2,2,-1,-1,1
32,Jagras Greaves,1,legs,both,0,0,0,8,44,74,-2,2,-1,-1,1
33,Kulu Headpiece,1,head,both,0,0,0,10,46,76,0,-3,0,1,0
34,Kulu Mail,1,chest,both,0,0,0,10,46,76,0,-3,0,1,0
35,Kulu Vambraces,1,arms,both,0,0,0,10,46,76,0,-3,0,1,0
36,Kulu Coil,1,waist,both,0,0,0,10,46,76,0,-3,0,1,0
37,Kulu Greaves,1,legs,both,0,0,0,10,46,76,0,-3,0,1,0
38,Alloy Helm,2,head,both,0,0,0,8,40,66,-2,1,-2,-2,1
39,Alloy Mail,2,chest,both,0,0,0,8,40,66,-2,1,-2,-2,1
40,Alloy Vambraces,2,arms,both,0,0,0,8,40,66,-2,1,-2,-2,1
41,Alloy Coil,2,waist,both,0,0,0,8,40,66,-2,1,-2,-2,1
42,Alloy Greaves,2,legs,both,0,0,0,8,40,66,-2,1,-2,-2,1
43,Pukei Hood,2,head,both,0,0,0,12,44,70,0,3,-3,0,1
44,Pukei Mail,2,chest,both,0,0,0,12,44,70,0,3,-3,0,1
45,Pukei Vambraces,2,arms,both,0,0,0,12,44,70,0,3,-3,0,1
46,Pukei Coil,2,waist,both,0,0,0,12,44,70,0,3,-3,0,1
47,Pukei Greaves,2,legs,both,0,0,0,12,44,70,0,3,-3,0,1
48,Barroth Helm,2,head,both,0,0,0,14,46,72,-3,-1,3,-1,0
49,Barroth Mail,2,chest,both,0,0,0,14,46,72,-3,-1,3,-1,0
50,Barroth Vambraces,2,arms,both,0,0,0,14,46,72,-3,-1,3,-1,0
51,Barroth Coil,2,waist,both,0,0,0,14,46,72,-3,-1,3,-1,0
52,Barroth Greaves,2,legs,both,0,0,0,14,46,72,-3,-1,3,-1,0
53,Jyura Helm,2,head,both,0,0,0,14,46,72,-1,2,-3,0,0
54,Jyura Mail,2,chest,both,0,0,0,14,46,72,-1,2,-3,0,0
55,Jyura Vambraces,2,arms,both,0,0,0,14,46,72,-1,2,-3,0,0
56,Jyura Coil,2,waist,both,0,0,0,14,46,72,-1,2,-3,0,0
57,Jyura Greaves,2,legs,both,0,0,0,14,46,72,-1,2,-3,0,0
58,Kadachi Helm,2,head,both,0,0,0,16,48,74,0,-3,3,0,0
59,Kadachi Mail,2,chest,both,0,0,0,16,48,74,0,-3,3,0,0
60,Kadachi Vambraces,2,arms,both,0,0,0,16,48,74,0,-3,3,0,0
61,Kadachi Coil,2,waist,both,0,0,0,16,48,74,0,-3,3,0,0
62,Kadachi Greaves,2,legs,both,0,0,0,16,48,74,0,-3,3,0,0
63,High Metal Helm,3,head,both,0,0,0,18,46,70,0,-1,-2,3,0
64,High Metal Mail,3,chest,both,0,0,0,18,46,70,0,-1,-2,3,0
65,High Metal Braces,3,arms,both,0,0,0,18,46,70,0,-1,-2,3,0
66,High Metal Coil,3,waist,both,0,0,0,18,46,70,0,-1,-2,3,0
67,High Metal Greaves,3,legs,both,0,0,0,18,46,70,0,-1,-2,3,0
68,King Beetle Vertex,3,head,male,0,0,0,22,50,74,-1,-1,2,0,2
69,King Beetle Thorax,3,chest,male,0,0,0,22,50,74,-1,-1,2,0,2
70,King Beetle Brachia,3,arms,male,0,0,0,22,50,74,-1,-1,2,0,2
71,King Beetle Elytra,3,waist,male,0,0,0,22,50,74,-1,-1,2,0,2
72,King Beetle Crura,3,legs,male,0,0,0,22,50,74,-1,-1,2,0,2
78,Shamos Goggles,3,head,both,0,0,0,22,50,74,2,2,0,-3,0
79,Hornetaur Helm,3,head,both,0,0,0,18,46,70,-1,-1,0,0,2
80,Hornetaur Mail,3,chest,both,0,0,0,18,46,70,-1,-1,0,0,2
81,Hornetaur Vambraces,3,arms,both,0,0,0,18,46,70,-1,-1,0,0,2
82,Hornetaur Coil,3,waist,both,0,0,0,18,46,70,-1,-1,0,0,2
83,Hornetaur Greaves,3,legs,both,0,0,0,18,46,70,-1,-1,0,0,2
84,Anja Helm,3,head,both,0,0,0,20,48,72,3,-3,-1,-1,0
85,Anja Mail,3,chest,both,0,0,0,20,48,72,3,-3,-1,-1,0
86,Anja Vambraces,3,arms,both,0,0,0,20,48,72,3,-3,-1,-1,0
87,Anja Coil,3,waist,both,0,0,0,20,48,72,3,-3,-1,-1,0
88,Anja Greaves,3,legs,both,0,0,0,20,48,72,3,-3,-1,-1,0
89,Rathian Helm,3,head,both,0,0,0,22,50,74,2,0,-2,0,-3
90,Rathian Mail,3,chest,both,0,0,0,22,50,74,2,0,-2,0,-3
91,Rathian Vambraces,3,arms,both,0,0,0,22,50,74,2,0,-2,0,-3
92,Rathian Coil,3,waist,both,0,0,0,22,50,74,2,0,-2,0,-3
93,Rathian Greaves,3,legs,both,0,0,0,22,50,74,2,0,-2,0,-3
94,Tzitzi Headgear,3,head,both,0,0,0,18,46,70,0,0,-3,-2,0
95,Tzitzi Mail,3,chest,both,0,0,0,18,46,70,0,0,-3,-2,0
