id,name_en,previous_en,rarity,skill1_name,skill1_level,skill2_name,skill2_level
1,Poison Charm I,,3,Poison Resistance,1,,
2,Poison Charm II,Poison Charm I,5,Poison Resistance,2,,
3,Poison Charm III,Poison Charm II,6,Poison Resistance,3,,
4,Attack Charm I,,3,Attack Boost,1,,
5,Attack Charm II,Attack Charm I,5,Attack Boost,2,,
6,Attack Charm III,Attack Charm II,7,Attack Boost,3,,
235,Attack Charm IV,Attack Charm III,11,Attack Boost,4,,
7,Defense Charm I,,3,Defense Boost,1,,
8,Defense Charm II,Defense Charm I,5,Defense Boost,2,,
9,Defense Charm III,Defense Charm II,6,Defense Boost,3,,
236,Defense Charm IV,Defense Charm III,9,Defense Boost,4,,
237,Defense Charm V,Defense Charm IV,11,Defense Boost,5,,
10,Paralysis Charm I,,3,Paralysis Resistance,1,,
11,Paralysis Charm II,Paralysis Charm I,5,Paralysis Resistance,2,,
12,Paralysis Charm III,Paralysis Charm II,7,Paralysis Resistance,3,,
13,Sleep Charm I,,3,Sleep Resistance,1,,
14,Sleep Charm II,Sleep Charm I,5,Sleep Resistance,2,,
15,Sleep Charm III,Sleep Charm II,6,Sleep Resistance,3,,
16,Stun Charm I,,3,Stun Resistance,1,,
17,Stun Charm II,Stun Charm I,5,Stun Resistance,2,,
18,Stun Charm III,Stun Charm II,6,Stun Resistance,3,,
19,Windproof Charm I,,3,Windproof,1,,
20,Windproof Charm II,Windproof Charm I,5,Windproof,2,,
21,Windproof Charm III,Windproof Charm II,6,Windproof,3,,
238,Windproof Charm IV,Windproof Charm III,11,Windproof,4,,
22,Health Charm I,,3,Health Boost,1,,
23,Health Charm II,Health Charm I,5,Health Boost,2,,
24,Health Charm III,Health Charm II,7,Health Boost,3,,
25,Recovery Charm I,,3,Recovery Up,1,,
26,Recovery Charm II,Recovery Charm I,6,Recovery Up,2,,
27,Recovery Charm III,Recovery Charm II,7,Recovery Up,3,,
28,Fire Charm I,,3,Fire Resistance,1,,
29,Fire Charm II,Fire Charm I,5,Fire Resistance,2,,
30,Fire Charm III,Fire Charm II,7,Fire Resistance,3,,
31,Water Charm I,,3,Water Resistance,1,,
32,Water Charm II,Water Charm I,5,Water Resistance,2,,
33,Water Charm III,Water Charm II,7,Water Resistance,3,,
34,Thunder Charm I,,3,Thunder Resistance,1,,
35,Thunder Charm II,Thunder Charm I,5,Thunder Resistance,2,,
36,Thunder Charm III,Thunder Charm II,7,Thunder Resistance,3,,
37,Blaze Charm I,,3,Fire Attack,1,,
38,Blaze Charm II,Blaze Charm I,6,Fire Attack,2,,
39,Blaze Charm III,Blaze Charm II,7,Fire Attack,3,,
239,Blaze Charm IV,Blaze Charm III,10,Fire Attack,4,,
240,Blaze Charm V,Blaze Charm IV,11,Fire Attack,5,,
40,Flood Charm I,,3,Water Attack,1,,
41,Flood Charm II,Flood Charm I,5,Water Attack,2,,
42,Flood Charm III,Flood Charm II,7,Water Attack,3,,
241,Flood Charm IV,Flood Charm III,10,Water Attack,4,,
242,Flood Charm V,Flood Charm IV,11,Water Attack,5,,
43,Shock Charm I,,3,Thunder Attack,1,,
44,Shock Charm II,Shock Charm I,5,Thunder Attack,2,,
45,Shock Charm III,Shock Charm II,7,Thunder Attack,3,,
243,Shock Charm IV,Shock Charm III,10,Thunder Attack,4,,
244,Shock Charm V,Shock Charm IV,11,Thunder Attack,5,,
46,Venom Charm I,,3,Poison Attack,1,,
47,Venom Charm II,Venom Charm I,6,Poison Attack,2,,
48,Venom Charm III,Venom Charm II,7,Poison Attack,3,,
245,Venom Charm IV,Venom Charm III,11,Poison Attack,4,,
49,Immobilize Charm I,,3,Paralysis Attack,1,,
50,Immobilize Charm II,Immobilize Charm I,5,Paralysis Attack,2,,
51,Immobilize Charm III,Immobilize Charm II,7,Paralysis Attack,3,,
246,Immobilize Charm IV,Immobilize Charm III,11,Paralysis Attack,4,,
52,Tranq Charm I,,3,Sleep Attack,1,,
53,Tranq Charm II,Tranq Charm I,5,Sleep Attack,2,,
54,Tranq Charm III,Tranq Charm II,7,Sleep Attack,3,,
247,Tranq Charm IV,Tranq Charm III,11,Sleep Attack,4,,
55,KO Charm I,,3,Slugger,1,,
56,KO Charm II,KO Charm I,5,Slugger,2,,
57,KO Charm III,KO Charm II,7,Slugger,3,,
58,Enervate Charm I,,3,Stamina Thief,1,,
59,Enervate Charm II,Enervate Charm I,5,Stamina Thief,2,,
60,Enervate Charm III,Enervate Charm II,6,Stamina Thief,3,,
61,Artillery Charm I,,3,Artillery,1,,
62,Artillery Charm II,Artillery Charm I,5,Artillery,2,,
63,Artillery Charm III,Artillery Charm II,7,Artillery,3,,
64,Hungerless Charm I,,3,Hunger Resistance,1,,
65,Hungerless Charm II,Hungerless Charm I,5,Hunger Resistance,2,,
66,Hungerless Charm III,Hungerless Charm II,6,Hunger Resistance,3,,
67,Ironside Charm I,,3,Guard,1,,
68,Ironside Charm II,Ironside Charm I,5,Guard,2,,
69,Ironside Charm III,Ironside Charm II,7,Guard,3,,
248,Ironside Charm IV,Ironside Charm III,11,Guard,4,,
249,Ironside Charm V,Ironside Charm IV,12,Guard,5,,
70,Friendship Charm I,,3,Wide-Range,1,,
71,Friendship Charm II,Friendship Charm I,5,Wide-Range,2,,
72,Friendship Charm III,Friendship Charm II,7,Wide-Range,3,,
250,Friendship Charm IV,Friendship Charm III,11,Wide-Range,4,,
251,Friendship Charm V,Friendship Charm IV,12,Wide-Range,5,,
73,Extension Charm I,,3,Item Prolonger,1,,
74,Extension Charm II,Extension Charm I,6,Item Prolonger,2,,
75,Extension Charm III,Extension Charm II,7,Item Prolonger,3,,
76,Glutton's Charm I,,3,Speed Eating,1,,
77,Glutton's Charm II,Glutton's Charm I,5,Speed Eating,2,,
78,Glutton's Charm III,Glutton's Charm II,7,Speed Eating,3,,
79,Blessing Charm I,,3,Divine Blessing,1,,
80,Blessing Charm II,Blessing Charm I,5,Divine Blessing,2,,
