name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Poison Charm I,耐毒の護石Ⅰ,Collier antipoison,Amuleto veleno,Gift-Talisman,Cigua veneno I,Amuleto de Veneno I,Amulet trucizny I,Оберег от яда 1,내독의 호석Ⅰ,耐毒護石Ⅰ,سحر السم I
Poison Charm II,耐毒の護石Ⅱ,Collier antipoison,Amuleto veleno,Gift-Talisman,Cigua veneno II,Amuleto de Veneno II,Amulet trucizny II,Оберег от яда 2,내독의 호석Ⅱ,耐毒護石Ⅱ,سحر السم II
Poison Charm III,耐毒の護石Ⅲ,Collier antipoison,Amuleto veleno,Gift-Talisman,Cigua veneno III,Amuleto de Veneno III,Amulet trucizny III,Оберег от яда 3,내독의 호석Ⅲ,耐毒護石Ⅲ,سحر السم III
Attack Charm I,攻撃の護石Ⅰ,Collier de guerre,Amuleto attacco,Angriff-Talisman,Cigua ataque I,Amuleto de Ataque I,Amulet ataku I,Оберег атаки 1,공격의 호석Ⅰ,攻擊護石Ⅰ,سحر الهجوم I
Attack Charm II,攻撃の護石Ⅱ,Collier de guerre,Amuleto attacco,Angriff-Talisman,Cigua ataque II,Amuleto de Ataque II,Amulet ataku II,Оберег атаки 2,공격의 호석Ⅱ,攻擊護石Ⅱ,سحر الهجوم II
Attack Charm III,攻撃の護石Ⅲ,Collier de guerre,Amuleto attacco,Angriff-Talisman,Cigua ataque III,Amuleto de Ataque III,Amulet ataku III,Оберег атаки 3,공격의 호석Ⅲ,攻擊護石Ⅲ,سحر الهجوم III
Defense Charm I,防御の護石Ⅰ,Collier de défense,Amuleto difesa,Verteidigung-Talisman,Cigua defensa I,Amuleto de Defesa I,Amulet obrony I,Оберег защиты 1,방어의 호석Ⅰ,防禦護石Ⅰ,سحر الدفاع I
Defense Charm II,防御の護石Ⅱ,Collier de défense,Amuleto difesa,Verteidigung-Talisman,Cigua defensa II,Amuleto de Defesa II,Amulet obrony II,Оберег защиты 2,방어의 호석Ⅱ,防禦護石Ⅱ,سحر الدفاع II
Defense Charm III,防御の護石Ⅲ,Collier de défense,Amuleto difesa,Verteidigung-Talisman,Cigua defensa III,Amuleto de Defesa III,Amulet obrony III,Оберег защиты 3,방어의 호석Ⅲ,防禦護石Ⅲ,سحر الدفاع III
Paralysis Charm I,耐痺の護石Ⅰ,Collier de fougue,Amuleto paralisi,Lähm-Talisman,Cigua parálisis I,Amuleto de Paralisia I,Amulet paraliżu I,Оберег от паралича 1,내마비의 호석Ⅰ,耐痺護石Ⅰ,سحر الشلل I
Paralysis Charm II,耐痺の護石Ⅱ,Collier de fougue,Amuleto paralisi,Lähm-Talisman,Cigua parálisis II,Amuleto de Paralisia II,Amulet paraliżu II,Оберег от паралича 2,내마비의 호석Ⅱ,耐痺護石Ⅱ,سحر الشلل II
Paralysis Charm III,耐痺の護石Ⅲ,Collier de fougue,Amuleto paralisi,Lähm-Talisman,Cigua parálisis III,Amuleto de Paralisia III,Amulet paraliżu III,Оберег от паралича 3,내마비의 호석Ⅲ,耐痺護石Ⅲ,سحر الشلل III
Sleep Charm I,耐眠の護石Ⅰ,Collier de minuit,Amuleto sonno,Schlaf-Talisman,Cigua sueño I,Amuleto de Sono I,Amulet snu I,Оберег от сна 1,내수면의 호석Ⅰ,耐眠護石Ⅰ,سحر النوم I
Sleep Charm II,耐眠の護石Ⅱ,Collier de minuit,Amuleto sonno,Schlaf-Talisman,Cigua sueño II,Amuleto de Sono II,Amulet snu II,Оберег от сна 2,내수면의 호석Ⅱ,耐眠護石Ⅱ,سحر النوم II
Sleep Charm III,耐眠の護石Ⅲ,Collier de minuit,Amuleto sonno,Schlaf-Talisman,Cigua sueño III,Amuleto de Sono III,Amulet snu III,Оберег от сна 3,내수면의 호석Ⅲ,耐眠護石Ⅲ,سحر النوم III
