name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Antidote Jewel 1,耐毒珠【１】,Joyau antidote [1],Gioiello resistenza veleno 1,Gegengift-Juwel 1,Joya antídoto 1,Joia Antídoto 1,Klejnot antidotum 1,Самоцвет-противоядие 1,내독주【1】,耐毒珠【１】,حلية الترياق 1
Geology Jewel 1,地学珠【１】,Joyau géologie [1],Gioiello geologo 1,Geologie-Juwel 1,Joya geológica 1,Joia Geológica 1,Klejnot geologii 1,Геологический самоцвет 1,지학주【1】,地學珠【１】,حلية الجيولوجيا 1
Heavy Artillery Jewel 1,砲手珠【１】,Joyau artillerie [1],Gioiello artiglieria pesante 1,Schwere-Artillerie-Juwel 1,Joya artillería pesada 1,Joia Artilharia Pesada 1,Klejnot ciężkiej artylerii 1,Самоцвет тяжелой артиллерии 1,포수주【1】,砲手珠【１】,حلية المدفعية الثقيلة 1
Hungerless Jewel 1,無食珠【１】,Joyau du spartiate [1],Gioiello resistenza fame 1,Hungerfrei-Juwel 1,Joya antigula 1,Joia da Saciação 1,Klejnot niegłodnego 1,Самоцвет сытости 1,공복주【1】,無食珠【１】,حلية الشبع 1
Satiated Jewel 1,節食珠【１】,Joyau du parasite [1],Gioiello pasto gratuito 1,Sattes Juwel 1,Joya saciante 1,Joia da Saciedade 1,Klejnot nasycenia 1,Самоцвет пресыщения 1,절식주【1】,節食珠【１】,حلية التخمة 1
Protection Jewel 1,加護珠【１】,Joyau de bénédiction [1],Gioiello angelo custode 1,Schutz-Juwel 1,Joya de protección 1,Joia da Proteção 1,Klejnot ochrony 1,Самоцвет благословения 1,가호주【1】,加護珠【１】,حلية الحماية 1
Meowster Jewel 1,采配珠【１】,Joyau Palico [1],Gioiello gregario 1,Miauster-Juwel 1,Joya miaunstruo 1,Joia de Miaustre 1,Klejnot miaustrza 1,Самоцвет мяустера 1,지시주【1】,指示珠【１】,حلية السيد 1
Botany Jewel 1,植学珠【１】,Joyau du botaniste [1],Gioiello botanico 1,Botanik-Juwel 1,Joya botánica 1,Joia Botânica 1,Klejnot botaniki 1,Ботанический самоцвет 1,식학주【1】,植學珠【１】,حلية علم النبات 1
Tip Toe Jewel 1,潜伏珠【１】,Joyau de furtivité [1],Gioiello furtivo 1,Schleich-Juwel 1,Joya de puntillas 1,Joia Ponta dos Pés 1,Klejnot skradania 1,Самоцвет бесшумности 1,잠복주【1】,潛伏珠【１】,حلية طرف إصبع القدم 1
Flight Jewel 2,飛燕珠【２】,Joyau acrobatie [2],Gioiello minaccia aerea 2,Flug-Juwel 2,Joya de vuelo 2,Joia de Voo 2,Klejnot lotu 2,Самоцвет полета 2,비연주【2】,飛燕珠【２】,حلية الطيران 2
Mirewalker Jewel 1,沼渡珠【１】,Joyau d'Atlantis [1],Gioiello esperto acquatico 1,Sumpfläufer-Juwel 1,Joya lodazal 1,Joia de Lodo 1,Klejnot bagnołaza 1,Самоцвет трясины 1,소도주【1】,沼渡珠【１】,حلية سائر الوحل 1
Specimen Jewel 1,標本珠【１】,Joyau insectoïde [1],Gioiello entomologo 1,Insektenforscher-Juwel 1,Joya espécimen 1,Joia de Espécime 1,Klejnot okazu 1,Самоцвет образцов 1,표본주【1】,標本珠【１】,حلية العيّنة 1
Miasma Jewel 1,耐瘴珠【１】,Joyau de pureté [1],Gioiello resistenza effluvio 1,Miasma-Juwel 1,Joya de miasma 1,Joia de Miasma 1,Klejnot miazmatów 1,Самоцвет миазмов 1,내장주【1】,耐瘴珠【１】,حلية الخانق 1
Scent Jewel 1,嗅覚珠【１】,Joyau de prémonition [1],Gioiello segugio 1,Geruchs-Juwel 1,Joya olfativa 1,Joia de Aroma 1,Klejnot zapachu 1,Самоцвет запаха 1,후각주【1】,嗅覺珠【１】,حلية الرائحة 1
Intimidator Jewel 1,威嚇珠【１】,Joyau intimidation [1],Gioiello intimidazione 1,Einschüchtern-Juwel 1,Joya intimidante 1,Joia Intimidante 1,Klejnot zastraszacza 1,Самоцвет устрашения 1,위하주【1】,威嚇珠【１】,حلية المخيف 1
Crisis Jewel 1,窮地珠【１】,Joyau sauvage [1],Gioiello rianimazione 1,Krisen-Juwel 1,Joya de crisis 1,Joia de Crise 1,Klejnot kryzysu 1,Самоцвет кризиса 1,궁지주【1】,絕路珠【１】,حلية الكارثة 1
Antipara Jewel 1,耐麻珠【１】,Joyau antiparalysie [1],Gioiello resistenza paralisi 1,Anti-Lähm-Juwel 1,Joya antiparálisis 1,Joia Antiparalisia 1,Klejnot antyparaliżu 1,"Самоцвет ""Антипаралич"" 1",내비주【1】,耐麻珠【１】,حلية مضادة للشلل 1
