base_name_en,area,rank,item_lang,item,stack,percentage,nodes
Ancient Forest,1,,en,Flamenut,1,100,1
Ancient Forest,1,,en,Flowfern,1,100,2
Ancient Forest,1,,en,Herb,1,100,5
Ancient Forest,1,,en,Needleberry,1,100,1
Ancient Forest,2,,en,Bitterbug,1,100,3
Ancient Forest,2,,en,Herb,1,100,1
Ancient Forest,2,,en,Honey,1,100,1
Ancient Forest,2,,en,Needleberry,1,100,1
Ancient Forest,2,,en,Parashroom,1,100,2
Ancient Forest,2,,en,Spider Web,1,100,2
Ancient Forest,3,,en,Flamenut,1,100,1
Ancient Forest,3,,en,Herb,1,100,1
Ancient Forest,3,,en,Latchberry,1,100,1
Ancient Forest,3,,en,Nulberry,1,100,1
Ancient Forest,4,,en,Blue Mushroom,1,100,1
Ancient Forest,4,,en,Fire Herb,1,100,2
Ancient Forest,4,,en,Herb,1,100,2
Ancient Forest,4,,en,Needleberry,1,100,1
Ancient Forest,5,,en,Antidote Herb,1,100,4
Ancient Forest,6,,en,Adamant Seed,1,100,0
Ancient Forest,6,,en,Antidote Herb,1,100,1
Ancient Forest,6,,en,Blue Mushroom,1,100,2
Ancient Forest,6,,en,Flamenut,1,100,1
Ancient Forest,6,,en,Godbug,1,100,1
Ancient Forest,6,,en,Herb,1,100,2
Ancient Forest,6,,en,Honey,1,100,1
Ancient Forest,6,,en,Latchberry,1,100,2
Ancient Forest,6,,en,Smokenut,1,100,3
Ancient Forest,6,,en,Thunderbug,1,100,1
Ancient Forest,6,,en,Toadstool,1,100,3
Ancient Forest,7,,en,Bitterbug,1,100,4
Ancient Forest,7,,en,Blue Mushroom,1,100,1
Ancient Forest,7,,en,Herb,1,100,1
Ancient Forest,7,,en,Latchberry,1,100,1
Ancient Forest,7,,en,Needleberry,1,100,1
Ancient Forest,7,,en,Spider Web,1,100,1
Ancient Forest,8,,en,Blastnut,1,100,3
Ancient Forest,8,,en,Blue Mushroom,1,100,2
Ancient Forest,8,,en,Flamenut,1,100,1
Ancient Forest,8,,en,Herb,1,100,2
Ancient Forest,8,,en,Honey,1,100,1
Ancient Forest,8,,en,Needleberry,1,100,2
Ancient Forest,9,,en,Herb,1,100,2
Ancient Forest,10,,en,Baitbug,1,100,1
Ancient Forest,10,,en,Honey,1,100,1
Ancient Forest,10,,en,Spider Web,1,100,5
Ancient Forest,11,,en,Adamant Seed,1,100,1
Ancient Forest,11,,en,Baitbug,1,100,3
Ancient Forest,11,,en,Blue Mushroom,1,100,2
Ancient Forest,11,,en,Bomberry,1,100,2
Ancient Forest,11,,en,Dragonstrike Nut,1,100,1
Ancient Forest,11,,en,Exciteshroom,1,100,1
Ancient Forest,11,,en,Flamenut,1,100,3
Ancient Forest,11,,en,Herb,1,100,2
Ancient Forest,11,,en,Honey,1,100,2
Ancient Forest,11,,en,Ivy,1,100,2
Ancient Forest,11,,en,Latchberry,1,100,1
Ancient Forest,11,,en,Nitroshroom,1,100,2
Ancient Forest,11,,en,Nulberry,1,100,1
Ancient Forest,11,,en,Parashroom,1,100,2
Ancient Forest,11,,en,Thunderbug,1,100,0
Ancient Forest,11,,en,Toadstool,1,100,2
Ancient Forest,12,,en,Flowfern,1,100,
Ancient Forest,12,,en,Latchberry,1,100,
Ancient Forest,12,,en,Slashberry,1,100,
Ancient Forest,13,,en,Bitterbug,1,100,
Ancient Forest,13,,en,Blue Mushroom,1,100,
Ancient Forest,13,,en,Flamenut,1,100,
Ancient Forest,13,,en,Herb,1,100,
Ancient Forest,13,,en,Ivy,1,100,
Ancient Forest,13,,en,Needleberry,1,100,
Ancient Forest,14,,en,Blastnut,1,100,
Ancient Forest,14,,en,Bomberry,1,100,
Ancient Forest,14,,en,Dragonstrike Nut,1,100,
Ancient Forest,14,,en,Flamenut,1,100,
Ancient Forest,14,,en,Godbug,1,100,
Ancient Forest,14,,en,Herb,1,100,
Ancient Forest,14,,en,Honey,1,100,
Ancient Forest,14,,en,Latchberry,1,100,
Ancient Forest,14,,en,Sleep Herb,1,100,
Ancient Forest,14,,en,Smokenut,1,100,
Ancient Forest,14,,en,Spider Web,1,100,
Ancient Forest,15,,en,Blastnut,1,100,
Ancient Forest,15,,en,Blue Mushroom,1,100,
Ancient Forest,15,,en,Exciteshroom,1,100,
Ancient Forest,15,,en,Flowfern,1,100,
Ancient Forest,15,,en,Herb,1,100,
Ancient Forest,15,,en,Honey,1,100,
Ancient Forest,15,,en,Ivy,1,100,
Ancient Forest,15,,en,Latchberry,1,100,
Ancient Forest,15,,en,Nulberry,1,100,
Ancient Forest,15,,en,Thunderbug,1,100,
Ancient Forest,15,,en,Toadstool,1,100,
Ancient Forest,16,,en,Antidote Herb,1,100,
