name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Aptonoth,"Docile herbivores that graze in packs. Their meat is considered a delicacy and is rich in nutrients. If one member of the herd is attacked, the rest will flee immediately.",アプトノス,群れで活動する草食種のモンスター。肉は美味で 栄養価も高いため捕食対象となることも多い。 攻撃を受けたり危機を察知すると群れで逃げる。,Aptonoth,"Ces herbivores dociles sont prisés pour leur délicieuse viande riche en nutriments. Lorsque l'un d'entre eux est attaqué, c'est tout le troupeau qui s'enfuit.",Aptonoth,"Docile erbivoro che vive in branco. La sua carne è considerata prelibata e nutriente. Se un membro del branco viene attaccato, gli altri fuggiranno all'istante.",Aptonoth,"Ein sanftmütiger Pflanzenfresser, der im Rudel grast. Sein Fleisch gilt als Delikatesse und ist nährstoffreich. Wird ein Mitglied der Herde angegriffen, flieht der Rest.",Aptonoth,"Dóciles herbívoros que encontrarás pastando juntos. Su carne es muy nutritiva y se considera deliciosa. Si atacas a un miembro de la manada, el resto huirá inmediatamente.",Aptonote,"Herbívoros dóceis que pastam em bando. Sua carne rica em nutrientes é considerada uma iguaria. Se um for atacado, o resto fugirá.",Aptonoth,"Roślinożercy żerujący w stadach. Ich pożywne mięso jest uważane za przysmak. Zaatakuj jednego, a reszta natychmiast ucieknie.",Аптонот,"Мирные стадные травоядные с нежным, вкусным мясом. Если напасть на одного, остальные разбегаются.",아프토노스,무리지어서 활동하는 초식종. 고기가 맛있고 영양가도 높아 포식 대상이 되는 일이 잦다. 공격을 받거나 위기를 느끼면 떼지어 도망친다.,草食龍,性喜群體活動的草食種魔物。肉質鮮美， 營養價值也高，經常成為被捕食的對象。 受到攻擊或察覺危機就會群起奔逃。,أبتونوث,كائنات نباتية مطيعة ترعى معًا في قطيع. يُعد لحمها شهيًا وهو غني بالمغذيات. إذا هوجم أحد أفراد القطيع، يفر الباقون على الفور.
Jagras,"Members of the Great Jagras pack, these smaller monsters will flee upon seeing one of their own perish. They're also known for ambushing larger monsters at a moment's notice.",ジャグラス,ドスジャグラスと縄張りを共有し、数頭追い 払うと一斉に退散する性質を持つ。隙を見せた 大型モンスターに集団で襲い掛かることもある。,Jagras,"Ces monstres faisant partie de la meute du Grand Jagras ont tendance à s'attaquer à de plus grands monstres, mais prennent la fuite dès que l'un de leurs congénères périt.",Jagras,"Piccolo mostro che vive in branco assieme al Gran Jagras, tende a fuggire se un suo simile viene ucciso. È conosciuto per le sue imboscate ai mostri di dimensioni più grandi.",Jagras,"Das Rudel eines Groß-Jagras besteht aus Exemplaren dieses kleineren Monsters. Sieht er einen der seinen sterben, flieht er. Fürchtet sich nicht vor größeren Gegnern.",Jagras,"Miembros de la manada de un Gran Jagras. Si ven morir a uno de los suyos huirán, pero también se les ha visto emboscar a monstruos grandes en cortos espacios de tiempo.",Jagras,"Membros do bando do Grande Jagras, esses monstros menores fugirão se virem um deles morrer. Também emboscam monstros maiores.",Jagras,"Mniejsze potwory ze stada Wielkiego Jagrasa. Uciekają, gdy jeden z nich zostanie zabity. Urządzają zasadzki na większe potwory.",Яграс,"Мелкие чудовища из стаи большого яграса. Разбегаются, едва завидев гибель сородича. Часто нападают из засады.",쟈그라스,도스쟈그라스와 영역을 공유하며 몇 마리를 쫓아내면 일제히 달아나는 성질이 있다. 틈을 보인 대형 몬스터를 단체로 습격하는 경우도 있다.,凶豺龍,和大凶豺龍共享地盤的魔物，擁有擊退數頭 就會全數撤退的特質。有時也會 集體襲擊露出破綻的大型魔物。,جاغراس,أعضاء قطيع جاغراس العظيم، ستفر هذه الوحوش الصغيرة عند رؤية هلاكها. تشتهر أيضًا بأسرها لوحوش أكبر بسرعة كبيرة.
Mernos,"Wingdrakes that feast on scatternuts. The flock will travel great distances when startled, making them an invaluable mode of transportation for clever hunters.",メルノス,はじけクルミなどの木の実を好んで食べる翼竜。 驚くと群れで大移動するため、上手くぶら下がる ことができれば、長距離移動の助けにもなる。,Mernos,"Des drakes ailés se nourrissant de frag-noix. Ils peuvent parcourir de grandes distances lorsqu'ils sont surpris, ce qui en fait un moyen de transport apprécié des chasseurs.",Mernos,Uno Pterowyvern che si ciba di noci scoppio. Può librarsi in aria assieme ai suoi simili e volare per grandi distanze. Questo lo rende un ottimo mezzo di trasporto per i cacciatori.,Mernos,"Dieser Flugdrache ernährt sich von Streunüssen. Im Schwarm legt er große Entfernungen zurück, was ihn zum wertvollen Transportmittel schlauer Jäger macht.",Mernos,"Dracoalados que devoran fragmenueces. Si se asustan, sus bandadas pueden llegar a desplazarse largas distancias, convirtiéndolos en transportes ideales para cazadores listos.",Mernos,"Dracoaladas que comem nozes. O bando viajará para longe quando surpreendido, tornando-as uma ótima forma de transporte.",Mernos,"Szkrzydłosmoki żywiące się trzaskorzechami. Wystraszone stado przebywa duże odległości, przez co stanowi świetny środek transportu.",Мернос,"Летающая виверна, питающаяся разрывными орехами. Преодолевает большие расстояния. Охотники используют их как транспорт.",메르노스,펑펑호두 등의 열매를 즐기는 익룡. 놀라면 무리 지어 대이동을 하므로 능숙하게 매달릴 수 있다면 장거리 이동에 도움이 된다.,行翼龍,愛吃飛散核桃之類樹果的翼龍。 受到驚嚇就會集體大移動，只要巧妙 吊在底下，就能成為長距離移動的幫手。,ميرنوس,تنانين مجنحة تتغذى على البنادق المتناثرة. يسافر السرب لمسافات كبيرة في حالة الخوف مما يجعلها وسيلة قيمة لنقل الصيادين المهرة.
Vespoid,"Insects that paralyze their targets with their long stingers. They break easily, so attack them with poison or slinger ammo if you want to carve them.",ランゴスタ,腹部に麻痺性の毒針を持つ甲虫種。素材は繊細で 壊れやすいため、スリンガーや毒を使った攻撃で 仕留めてから剥ぎ取るといいだろう。,Vespoid,"Des insectes qui paralysent leurs victimes avec leur dard. Ils sont fragiles, alors utilisez votre fronde ou du poison si vous souhaitez récupérer leurs restes.",Vespoid,"Insetti che paralizzano le vittime con un pungiglione al di sotto del loro addome. Sono molto deboli, usa quindi la fionda o del veleno per abbatterli e raccoglierne i resti.",Vespoid,"Der Vespoid ist bekannt dafür, seine Opfer mit seinem langen Stachel zu lähmen. Er zerbricht leicht, also nutze deine Schleuder oder setze Gift ein, um an seine Materialien zu kommen.",Vespoid,"Insectos que paralizan a sus objetivos con el aguijón al final de su abdomen. Debido a su fragilidad, para conseguir sus partes blandas deberás acabar con ellos con la eslinga o con veneno.",Vespoidea,"Insetos que paralisam alvos com um longos ferrões. São frágeis, então ataque-os com veneno ou munição de atiradeira.",Vespoid,"Owady paraliżujące cel swoim żądłem. Są dość delikatne, więc atak trucizną lub procą szybko się z nimi rozprawi.",Осоид,"Насекомые, парализующие жертв своими длинными жалами. Очень хрупкие. Охотьтесь с помощью яда или самострела.",랑고스타,복부에 마비 독침을 가진 갑충종. 소재는 섬세해서 부서지기 쉬우므로 슬링어나 독을 사용해서 끝장낸 후 갈무리하는 게 좋다.,巨蜂,腹部擁有麻痺性毒針的甲蟲種，由於素材纖細 容易損壞，用投射器或毒性攻擊解決 再進行剝取就沒問題了。,فيسبويد,حشرات تسبب الشلل لأهدافها بلدغة من إبرها الطويلة. بسبب هشاشتها، ستضطر إلى مهاجمتها بالسم أو ذخيرة نبلة المعصم.
Mosswine,"Mosswine are known for their excellent sense of smell, and are often found foraging for fungi. If you're hunting around for mushrooms, follow the Mosswine to the motherlode.",モス,優れた嗅覚で好物のキノコを探しながら徘徊する 小型のモンスター。彼らの後をついて行けば、 様々な種類のキノコが発見できるかもしれない。,Mosswine,"Le Mosswine est connu pour son odorat très développé et son appétence pour les champignons. Si vous partez à la cueillette, n'hésitez pas à le suivre.",Mosswine,"Il Mosswine è famoso per il suo olfatto sopraffino. L'alimento alla base della sua dieta sono i funghi. Se ne sei alla ricerca, segui un Mosswine e ne troverai a quintali.",Mosswine,"Der Mosswine ist für seinen exzellenten Geruchssinn bekannt, der oft zur Pilzsuche genutzt wird. Folge einem Mosswine und schlage dir den Wanst voll!",Musgorrino,"Los musgorrinos tienen un sentido del olfato muy agudo, que utilizan para encontrar setas. Si lo que estás buscando son setas, síguelos y darás con las mejores.",Musgoíno,"Musgoínos são conhecidos pelo ótimo olfato e costumam procurar fungos. Se estiver buscando cogumelos, basta seguir o Musgoíno.",Mchoświnia,"Mchoświnie są znane ze świetnego węchu. Często szukają grzybów. Jeśli interesują cię grzyby, Mchoświnie cię do nich zaprowadzą.",Мохосвин,"Мохосвины славятся исключительным обонянием и страстью к грибам. Идя за грибами, следуйте за этими существами.",모스,뛰어난 후각으로 좋아하는 버섯을 찾아 배회하는 소형 몬스터. 그들의 뒤를 따라가면 다양한 종류의 버섯을 발견할지도 모른다.,菌豬,以敏銳的嗅覺尋找喜歡的香菇 而四處遊走的小型魔物。跟在牠們後頭， 或許就能發現各種不同種類的香菇。,موسواين,تُعرف الموسواين بحاسة شم ممتازة وعادة ما يُعثر عليها تبحث عن الفطريات. إن كنت تصطاد بحثًا عن الفطر، اتبع خطى الموسواين حتى تصل إلى المنبع.
Apceros,"Herbivores that inhabit the Wildspire Waste. They've developed particularly hard hide to ward off attackers, and are known to gather in groups to defend themselves.",アプケロス,大蟻塚の荒地に棲息する草食種。捕食者から身を 守るため全身は硬い外殻で覆われている。複数で 固まり、集団で防御壁を作ることもあるようだ。,Apceros,"Ces herbivores peuplant le Désert des termites ont développé une peau très épaisse, et ont tendance à se regrouper avec leurs semblables afin de se défendre.",Apceros,"Erbivoro che abita le Guglie selvagge. Noto per aver sviluppato una pelle molto spessa e per raggrupparsi con i suoi simili, difendendosi a vicenda.",Apceros,"Dieser Pflanzenfresser lebt in der Wildturm-Ödnis und hat eine besonders dicke Haut entwickelt, um Angreifer abzuwehren. Er sucht den Schutz der Gruppe zur Verteidigung.",Apceros,"Herbívoros que habitan en el Yermo de Agujas. Han desarrollado una piel especialmente dura para mantener a los atacantes a raya, y se reúnen en grupo para defenderse.",Apceros,Herbívoros que habitam o Ermo Selvagulha. Desenvolveram um couro robusto para afastar atacantes e formam grupos para se defender.,Apceros,"Roślinożercy z Pustkowia Dzikowieży. Mają bardzo twardą skórę, która chroni przed atakami. Dla ochrony zbierają się w grupy.",Апцерос,Травоядные из Дикогорья. От врагов их защищает прочная шкура. Обычно сбиваются в стада.,아프케로스,개밋둑의 황야에 서식하는 초식종. 몸에 뒤덮인 단단한 외각은 포식자에게서 몸을 보호한다. 집단으로 뭉쳐서 방어벽을 만드는 경우도 있다.,背甲龍,棲息於大蟻塚荒地的草食種。為了保護自己 防備捕食者，全身都包覆著堅硬的外殼。 似乎也會多數聚集一起，集體豎起防禦壁。,أبكيروس,كائنات نباتية تعيش في أنقاض الهياكل الشرسة. تتميز بجلد صلب لإبعاد المعتدين، وتُعرف بأنها تتجمع في مجموعات لحماية نفسها.
Kestodon,"Female Kestodon will alert the pack of danger, while the males will violently charge would-be threats. Their rushing charges can be blocked, however, leaving them open to attacks.",ケストドン,攻撃的な雄と危機察知に長けた雌で群れを形成。 縄張りに立ち入ると硬い頭を利用した突進で攻撃 してくるが、ガードで隙を作ることも可能だ。,Kestodon,"Lorsqu'une menace se présente, les femelles Kestodon alertent la meute pendant que les males passent à l'attaque. Bloquez leurs charges pour contre-attaquer.",Kestodon,"I Kestodon maschi, allertati dalle loro compagne, si scagliano contro le possibili minacce. Le loro cariche possono però essere bloccate, lasciandoli così scoperti agli attacchi.",Kestodon,"Der weibliche Kestodon alarmiert die Herde bei Gefahr, der männliche attackiert ohne Zurückhaltung. Rennende Exemplare können jedoch geblockt und dann angegriffen werden.",Kestodon,"Las hembras de Kestodon alertan al grupo de cualquier peligro, mientras los machos cargan violentamente contra cualquier posible amenaza. Bloquea su carga y abrirás sus defensas.",Kestodonte,Fêmeas Kestodontes alertarão o bando enquanto os machos investirão nas ameaças. As investidas podem ser bloqueadas.,Kestodon,"Samice Kestodona ostrzegają stado przed zagrożeniem, a samce atakują. Ich szarże można zablokować, co daje okazję do ataku.",Кестодон,"Самки кестодонов оповещают стаю об угрозе, а самцы безжалостно расправляются с врагами. Но их натиск можно блокировать.",케스토돈,공격적인 수컷과 위기 감지가 뛰어난 암컷으로 무리를 형성. 영역에 들어서면 단단한 머리로 돌진해 오며 가드로 빈틈을 만들어낼 수 있다.,冠突龍,由負責攻擊的雄性與擅長察覺危機的雌性 形成族群。遇到侵入地盤者就會以堅硬的頭 發動突進攻擊，擋下來就會露出破綻。,كيستودون,تنذر إناث الكيستودون بقية القطيع بقدوم الخطر في حين يمثل الذكور تهديدات عنيفة متوقعة. يمكن منع شحناتهم المطلقة ويصبحون عرضة للهجوم.
Noios,"Wingdrakes that will produce a sound similar to screamer pods when startled. Use meat to get their attention, and then hunt them for materials, or use them as transportation.",ノイオス,刺激に反応しスリンガー音爆弾に匹敵する爆音を発生させる 翼竜種。肉に集まる性質を利用すれば、群れを 呼び寄せ、狩猟や移動に役立てることも可能だ。,Noios,Des drakes ailés produisant un bruit similaire aux capsules sonores lorsqu'ils sont surpris. Attirez-les avec de la viande pour les chasser ou les utiliser comme transport.,Noios,Pterowyvern che produce un suono simile a quello di un baccello urlante se infastidito. Usa della carne per attirarlo poi caccialo o usalo come mezzo di trasporto.,Noios,"Dieser Flugdrache gibt ein Geräusch von sich, das an eine Schreikapsel erinnert, wenn er überrascht wird. Locke ihn mit Fleisch an und töte ihn für Materialien oder nutze ihn als Transport.",Noios,"Dracoalados cuyo grito al asustarles suena similar al de una cápsula chillona. Llama su atención con carne, y podrás cazarlos para materiales o usarlos como medio de transporte.",Noios,Dracoaladas que produzem um som similar às cápsulas gritantes quando alarmadas. Use carne para caçá-los por materiais ou transporte.,Noios,Wystraszone krzyczącym strąkiem wydają dźwięk podobny do wybuchu. Wab je mięsem i pozyskuj z nich materiały lub ich dosiadaj.,Ноиос,"Если их напугать, они испускают пронзительный звук подобно зернам крика. Хотите поохотиться или нужен транспорт? Приманите их мясом.",노이오스,자극에 반응해서 슬링어 음폭탄에 맞먹는 폭음 을 발생하는 익룡종. 고기를 모으는 습성을 이 용하면 사냥이나 이동에 도움을 줄 수도 있다.,響翼龍,受到刺激就會反應般發出可匹敵投射器音爆彈之 巨響的翼龍種。只要利用牠們會收集肉的特質， 就能引來群體，可對狩獵或移動有所幫助。,نويوس,وحوش مجنّحة تصدر صوتًا يشبه كبسولات الصراخ حين تفزعها. استخدم اللحم لجذب انتباهها ثم صدها للحصول على مواد أو استخدمها كوسيلة نقل.
Gajau,Vicious piscine that form groups to defend their territory from intruders. Be sure not to venture too closely to their habitat!,ガライーバ,縄張りに入ったものを群れで取り囲んで攻撃する 好戦的な魚類。棲息域付近の水辺には 不用意に近付かないようにしたい。,Gajau,Cette créature aquatique féroce se regroupe avec ses semblables pour défendre son territoire. Mieux vaut rester loin de son habitat !,Gajau,Pesce che si raggruppa con i suoi simili per difendere il proprio territorio dagli intrusi. Cerca di non invadere il suo habitat.,Gajau,"Grausamer Fischwyvern, der Eindringlinge gerne mit Gruppenhilfe vertreibt. Komm seinem Lebensraum nicht zu nahe...",Gajau,Nadadores agresivos que defienden su territorio en grupos. ¡No te acerques demasiado a donde vivan!,Gajau,Peixes cruéis que se agrupam para defender o território contra invasores. Não chegue perto demais do habitat deles!,Gajau,Groźny rybi potwór zbierający się w grupy dla obrony terytorium przed intruzami. Nie zbliżaj się do ich siedliska!,Гаджау,"Хищные рыбы, сбивающиеся в косяки, чтобы защищать свою территорию. Держитесь подальше от их владений!",가쟈우,영역에 들어오면 무리 지어 포위한 후 공격하는 호전적인 어류 몬스터. 서식 영역 근처 물가에는 무심코 다가가지 않는 편이 좋다.,咬魚,好戰的魚類一發現侵入地盤者， 就會群起圍攻的。最好不要隨意接近 棲息區域附近的水源。,غاجاو,كائنات مائية خطيرة تشكل مجموعات للدفاع عن أرضها من الدخلاء. احذر من مغامرة الاقتراب من موطنها!
Kelbi,Small herbivores known for their gentle demeanor and the medicinal properties of their horns. Those wishing to harvest a horn should aim for the head when attacking them.,ケルビ,穏和な性格の小型草食獣。角は万病を治す薬の 原料として知られており、入手したい場合は 頭部を狙って攻撃するのが良いだろう。,Kelbi,Ces petits herbivores ont un comportement docile et sont prisés pour leurs cornes aux propriétés médicinales. Il est conseillé à ceux qui veulent en obtenir de viser la tête.,Kelbi,Piccolo erbivoro noto per il comportamento mite e per le proprietà mediche delle sue corna. A chi desiderasse ottenere un corno è consigliato mirare alla testa.,Kelbi,"Ein kleiner Pflanzenfresser, bekannt für seinen Sanftmut und die medizinischen Eigenschaften seiner Hörner. Bist du auch auf sie aus, greife vor allem den Kopf an.",Kelbi,Pequeños herbívoros de carácter afable y un cuerno con propiedades medicinales. Para poder cortar su cuerno es necesario aturdirlos primero con un golpe en la cabeza.,Kelbi,"Herbívoros pequenos de temperamento gentil, conhecidos pelo uso medicinal dos chifres. Mire na cabeça para extrair o chifre.",Kelbi,"Mali roślinożercy znani z łagodności i właściwości leczniczych ich rogów. Ci, którzy chcą zdobyć róg, powinni skupiać ataki na głowie.",Келби,"Маленькие травоядные, славящиеся кротким нравом и целебными свойствами рогов. Чтобы добыть рога, цельтесь в голову.",켈비,온화한 성격의 소형 초식동물. 뿔은 만병을 치료하는 약의 재료라고 알려졌으며 입수하고 싶을 땐 머리를 노려서 공격하는 편이 좋다.,精靈鹿,個性溫和的小型草食獸。角是廣為人知的 治百病原料。想要獲取的話， 只要瞄準頭部攻擊就行了。,كيلبي,كائنات نباتية صغيرة تُعرف بسلوكها الرقيق وخصائص قرونها الطبية. من يرغب في الحصول على قرن، عليه أن يصوب نحو الرأس أثناء الهجوم.
