id,name_en,category,rank,stars,quest_type,location_en,zenny
101,Jagras of the Ancient Forest,assigned,LR,1,hunt,Ancient Forest,720
102,A Kestodon Kerfuffle,assigned,LR,2,hunt,Ancient Forest,1200
103,The Great Jagras Hunt,assigned,LR,2,hunt,Ancient Forest,1200
201,Bird-Brained Bandit,assigned,LR,2,hunt,Ancient Forest,1800
205,Urgent: Pukei-Pukei Hunt,assigned,LR,3,hunt,Ancient Forest,2520
301,The Best Kind of Quest,assigned,LR,3,hunt,Wildspire Waste,2520
302,Sinister Shadows in the Swamp,assigned,LR,3,hunt,Wildspire Waste,3240
305,Flying Sparks: Tobi-Kadachi,assigned,LR,3,hunt,Ancient Forest,3240
306,The Encroaching Anjanath,assigned,LR,4,hunt,Ancient Forest,4320
401,One for the History Books,assigned,LR,4,assignment,Great Ravine,4320
405,Ballooning Problems,assigned,LR,4,hunt,Coral Highlands,4320
407,Radobaan Roadblock,assigned,LR,4,hunt,Rotten Vale,4320
408,Legiana: Embodiment of Elegance,assigned,LR,5,hunt,Coral Highlands,5400
501,Into the Bowels of the Vale,assigned,LR,5,hunt,Rotten Vale,5400
502,A Fiery Throne Atop the Forest,assigned,LR,5,hunt,Ancient Forest,5400
503,Horned Tyrant Below the Sands,assigned,LR,5,hunt,Wildspire Waste,5400
504,A Colossal Task,assigned,LR,6,assignment,Everstream,8280
601,Invader in the Waste,assigned,HR,6,hunt,Wildspire Waste,7200
605,Tickled Pink,assigned,HR,6,hunt,Wildspire Waste,9000
607,Old World Monster in the New World,assigned,HR,7,hunt,Coral Highlands,12600
701,A Wound and a Thirst,assigned,HR,8,hunt,Elder's Recess,18000
801,"Kushala Daora, Dragon of Steel",assigned,HR,8,hunt,Elder's Recess,18000
802,Teostra the Infernal,assigned,HR,8,hunt,Elder's Recess,18000
803,Hellish Fiend Vaal Hazak,assigned,HR,8,hunt,Rotten Vale,18000
804,Land of Convergence,assigned,HR,9,hunt,Confluence of Fates,19800
805,Beyond the Blasting Scales,assigned,HR,9,hunt,Wildspire Waste,27720
806,Thunderous Rumble in the Highlands,assigned,HR,9,hunt,Coral Highlands,21600
151,Butting Heads with Nature,optional,LR,1,hunt,Ancient Forest,720
152,A Thicket of Thugs,optional,LR,1,hunt,Ancient Forest,720
153,Fungal Flexin' in the Ancient Forest,optional,LR,1,deliver,Ancient Forest,720
251,The Great Glutton,optional,LR,2,hunt,Ancient Forest,1800
252,Camp Crasher,optional,LR,2,hunt,Ancient Forest,1800
261,Snatch the Snatcher,optional,LR,2,capture,Wildspire Waste,2520
262,The Pain from Gains,optional,LR,2,hunt,Wildspire Waste,1080
263,Exterminator of the Waste,optional,LR,2,hunt,Wildspire Waste,1080
351,Scatternut Shortage,optional,LR,3,hunt,Ancient Forest,2520
352,The Current Situation,optional,LR,3,hunt,Ancient Forest,3240
361,Mired in the Spire,optional,LR,3,hunt,Wildspire Waste,2520
362,The Piscine Problem,optional,LR,3,hunt,Wildspire Waste,3240
363,Prickly Predicament,optional,LR,3,deliver,Wildspire Waste,1080
364,Gettin' Yolked in the Waste,optional,LR,3,deliver,Wildspire Waste,1080
365,Landing the Landslide Wyvern,optional,LR,3,capture,Wildspire Waste,3600
331,Special Arena: Pukei-Pukei,optional,LR,3,hunt,Special Arena,2520
332,Special Arena: Barroth,optional,LR,3,hunt,Special Arena,2520
333,Special Arena: Tobi-Kadachi,optional,LR,3,hunt,Special Arena,3240
451,One Helluva Sinus Infection,optional,LR,4,hunt,Ancient Forest,4320
452,Gettin' Yolked in the Forest,optional,LR,4,deliver,Ancient Forest,3600
461,Royal Relocation,optional,LR,4,hunt,Wildspire Waste,4320
471,It's a Crying Shamos,optional,LR,4,hunt,Coral Highlands,2520
472,A Tzitzi for Science,optional,LR,4,hunt,Coral Highlands,3240
473,Sorry You're Not Invited,optional,LR,4,hunt,Coral Highlands,4320
474,What a Bunch of Abalone,optional,LR,4,deliver,Coral Highlands,3600
475,White Monster for a White Coat,optional,LR,4,capture,Coral Highlands,5760
481,Persistent Pests,optional,LR,4,hunt,Rotten Vale,2520
482,A Rotten Thing To Do,optional,LR,4,hunt,Rotten Vale,3240
483,A Bone to Pick,optional,LR,4,hunt,Rotten Vale,4320
484,On Nightmare's Wings,optional,LR,4,hunt,Rotten Vale,2520
5003,Troubled Troupers,optional,LR,4,hunt,Coral Highlands,9000
431,Special Arena: Anjanath,optional,LR,4,hunt,Special Arena,4320
432,Special Arena: Rathian,optional,LR,4,hunt,Special Arena,4320
433,Special Arena: Paolumu,optional,LR,4,hunt,Special Arena,4320
434,Special Arena: Radobaan,optional,LR,4,hunt,Special Arena,4320
551,When Desire Becomes an Obsession,optional,LR,5,hunt,Ancient Forest,5400
552,"Redefining the ""Power Couple""",optional,LR,5,hunt,Ancient Forest,7920
561,Twin Spires Upon the Sands,optional,LR,5,hunt,Wildspire Waste,5400
571,A Humid Headache,optional,LR,5,hunt,Coral Highlands,5400
572,Gone in a Flash,optional,LR,5,hunt,Coral Highlands,9000
581,Scratching the Itch,optional,LR,5,hunt,Rotten Vale,5400
582,Man's Best Fiend,optional,LR,5,capture,Rotten Vale,7200
583,The Meat of the Matter,optional,LR,5,deliver,Rotten Vale,3600
531,Special Arena: Legiana,optional,LR,5,hunt,Special Arena,5400
