id,name_en,objective_en,description_en,name_ja,objective_ja,description_ja,name_fr,objective_fr,description_fr,name_it,objective_it,description_it,name_de,objective_de,description_de,name_es,objective_es,description_es,name_pt,objective_pt,description_pt,name_pl,objective_pl,description_pl,name_ru,objective_ru,description_ru,name_ko,objective_ko,description_ko,name_zh,objective_zh,description_zh,name_ar,objective_ar,description_ar,
101,Jagras of the Ancient Forest,Slay 7 Jagras,"Zorah Magdaros's appearance has brought about changes in the local ecosystem. Head into Jagras territory to investigate, and take them out if necessary.",ジャグラスと古代樹の森,ジャグラス７頭の討伐,ゾラ・マグダラオスの上陸により、小型モンスターの生態に 変化が起こっている。まずは、ジャグラスの生息域の調査と、 場合によっては討伐を頼む。,Jagras de la Forêt ancienne,Abattre 7 Jagras,L'apparition du Zorah Magdaros a eu des répercussions sur l'écosystème local. Rends-toi sur le territoire des Jagras pour mener l'enquête et élimine-les si nécessaire.,Jagras della Foresta antica,Uccidi 7 Jagras,"La comparsa dello Zorah Magdaros ha innescato vari cambiamenti nell'ecosistema locale. Avvia un'indagine nel territorio dei Jagras e, se necessario, elimina alcuni esemplari.",Die Jagras des Uralten Waldes,Töte sieben Jagras.,"Das Erscheinen des Zorah Magdaros hat im lokalen Ökosystem Veränderungen verursacht. Begib dich ins Jagras-Gebiet zum Nachforschen und töte sie, wenn nötig.",Jagras del Bosque Primigenio,Abate a 7 Jagras,La aparición de Zorah Magdaros ha provocado cambios en el ecosistema local. Dirígete al hábitat de los Jagras para investigar. Elimínalos si es necesario.,Jagras da Floresta Ancestral,Mate 7 Jagras,"A aparição de Zorah Magdaros trouxe mudanças ao ecossistema local. Vá até o território Jagras e investigue. Caso necessário, acabe com eles.",Jagras ze Starodrzewu,Zabij 7 Jagrasów,"Przybycie Zoraha Magdarosa wywołało zmiany w miejscowym ekosystemie. Udaj się na terytorium Jagrasów, by to zbadać, a w razie potrzeby je zlikwiduj.",Яграс из Древнего леса,Убить 7 яграсов.,"Появление Дзоры Магдароса изменило местную экосистему. Отправляйся на территорию яграсов для расследования и, если необходимо, убей их.",쟈그라스와 고대수의 숲,쟈그라스 7마리 토벌,"조라-마그다라오스의 상륙으로 소형 몬스터의 생태에 변화가 일어났다. 일단은 쟈그라스의 서식 영역을 조사하고, 경우에 따라선 토벌을 부탁한다.",凶豺龍與古代樹森林,討伐凶豺龍７頭,因熔山龍的登陸，導致小型魔物的生態發生變化。 首先調查凶豺龍的棲息區域， 之後再視情況來討伐魔物。,جاغراس الغابة العتيقة,ذبح 7 من الجاغراس,حدث ظهور زوراه ماغداروس تغييرات في النظام البيئي. اذهب إلى أرض جاغراس للاستقصاء وأطح بها عند الحاجة.,
102,A Kestodon Kerfuffle,Complete the assignment,Zorah Magdaros's appearance has driven a herd of Kestodon to new territory. We'll need you to go out and thin that herd of head-butters.,ケストドンは不穏と共に,任務の達成,ゾラ・マグダラオスの上陸により、ケストドンの生息域が変化、 かつ、気が立ち非常に危険との報告が上がってきた。安全のため、 討伐を頼む。,Cacophonie de Kestodon,Compléter la mission,L'apparition du Zorah Magdaros a poussé un troupeau de Kestodon à s'aventurer sur un nouveau territoire. Tu dois éclaircir les rangs de ces fortes têtes.,Sfratto dei Kestodon,Completa l'incarico,La comparsa dello Zorah Magdaros ha spinto un branco di Kestodon a migrare verso un nuovo territorio. Mettiti all'opera e riduci di numero quegli zucconi.,Das Kestodon-Gedöns,Schließe die Aufgabe ab.,Durch das Erscheinen des Zorah Magdaros ist eine Herde von Kestodons in ein neues Gebiet gewandert. Du musst los und die Herde der Kopfnüssler ausdünnen.,Un follón Kestodon,Completa el encargo,La aparición de Zorah Magdaros ha llevado a una manada de Kestodon a un nuevo territorio. Necesitamos que vayas y que mermes a esa manada de cabezones.,Uma Questão Kestodonte,Conclua o serviço,A aparição de Zorah Magdaros levou um rebanho de Kestodontes a um território novo. Vamos precisar ir até lá para desmanchar esse rebanho de cabeças duras.,Kestodonowa awantura,Ukończ zlecenie,Pojawienie się Zoraha Magdarosa przegnało stado Kestodonów na nowe terytorium. Musisz przetrzebić te atakujące głową potwory.,Заваруха с кестодоном,Выполнить задание.,"Появление Дзоры Магдароса заставило стадо кестодонов мигрировать на новые земли. Отправляйся туда и прореди стадо, пока они кого-нибудь не забодали.",케스토돈은 불온과 함께,임무 달성,"조라-마그다라오스의 상륙으로 케스토돈의 서식 영역이 변화했으며, 동시에 신경이 곤두서서 대단히 위험하단 보고가 올라왔다. 안전을 위해, 토벌을 부탁한다.",冠突龍騷動中,達成任務,因熔山龍的登陸，導致冠突龍的棲息區域發生變化， 且傳來了牠變得暴躁，因此非常危險的報告。 為了安全的疑慮，麻煩你前去討伐。,غضب كيستودون,أكمل التكليف,دفع ظهور زوراه ماغداروس إلى انتقال قطيع من الكيستودون لأرض جديدة. نريد منك الخروج وتقليص عدد هذا القطيع البشع.,
103,The Great Jagras Hunt,Hunt a Great Jagras,"Things I'm not interested in writing in my daily report: ""Researchers swallowed whole by Great Jagras."" Take it out before I actually have to write it!",ドスジャグラスを狩猟せよ,ドスジャグラスの狩猟,獲物を見つけたら丸呑みするドスジャグラスは、現地調査を行う 調査員にとって、危険極まりない存在だ。アステラの皆の安全の ために、奴の狩猟を頼む。,La chasse au Grand Jagras,Chasser un Grand Jagras,Je ne tiens pas à devoir rédiger un rapport du genre : un groupe de savants a été dévoré par un Grand Jagras. Élimine cette bestiole avant qu'il n'y ait un drame.,Caccia al Gran Jagras,Caccia un Gran Jagras,"""Ricercatori divorati da un Gran Jagras""... Spero di non dover mai scrivere una frase del genere nei miei rapporti. Elimina quel mostro, prima che mi smentisca!",Die Groß-Jagras-Jagd,Erjage einen Groß-Jagras.,"Was ich nicht in meinen täglichen Bericht schreiben möchte: ""Forscher komplett von Groß-Jagras verschluckt."" Vernichte ihn, bevor ich das wirklich schreiben muss!",La cacería del Gran Jagras,Caza un Gran Jagras,"Cosas que no me apetece escribir en el informe diario: ""El Gran Jagras se ha tragado a los eruditos"". ¡Acaba con él pronto o tendré que escribirlo!",Caça ao Grande Jagras,Cace um Grande Jagras,Coisas que não quero escrever no meu informe diário: “Pesquisadores engolidos vivos por Grande Jagras”. Dê um jeito nele para que eu não tenha que escrever isso!,Polowanie na Wielkiego Jagrasa,Upoluj Wielkiego Jagrasa,"Czego nie chcę umieścić w swoim codziennym raporcie: „Badacze połknięci w całości przez Wielkiego Jagrasa”. Załatw go, nim będę musiał to jednak napisać!",Охота на большого яграса,Выследить большого яграса.,"Вот уж чего не хочется писать в ежедневном отчете: ""Большой яграс сожрал исследователей с потрохами"". Убей его, пока мне и правда не пришлось это написать!",도스쟈그라스를 사냥하라,도스쟈그라스 사냥,"사냥감을 통째로 삼키는 도스쟈그라스는, 현지 조사원에게 있어선 극히 위험한 존재다. 아스테라에 있는 모두의 안전을 위해, 녀석의 사냥을 부탁한다.",狩獵大凶豺龍吧,狩獵大凶豺龍,發現獵物便吞噬殆盡的大凶豺龍，對在進行實地調查的 調查員而言，是個危險至極的傢伙。為了星辰中 全體人員的安全，麻煩你前去狩獵那傢伙。,صيد جاغراس العظيم,صيد جاغراس العظيم,أمور لست مهتمًا بكتابتها في تقريري اليومي: ابتلع جاغراس العظيم كل الباحثين. تخلص من ذلك قبل أن أضطر إلى كتابتها!,
201,Bird-Brained Bandit,Hunt a Kulu-Ya-Ku,The Kulu-Ya-Ku uses its dexterous forearms to carry objects. Left unchecked it's liable to run off with crucial supplies. Step one of rebuilding a secure camp is hunting that thief!,キャンプ設営は命がけ,クルルヤックの狩猟,クルルヤックは前脚を器用に使って、物を抱えるの。放置したら 大事な資材が荒らされるわ。安全なキャンプを再建するためにも、 狩猟をよろしく頼まれて頂戴！,Tête de piaf chapardeuse,Chasser un Kulu-Ya-Ku,"Le Kulu-Ya-Ku utilise ses bras préhensiles pour dérober des objets. Si on ne l'en empêche pas, il va s'en prendre à notre ravitaillement. Débarrasse-nous de ce chapardeur !",Un ladro dal cervello di gallina,Caccia un Kulu-Ya-Ku,"Il Kulu-Ya-Ku usa le zampe anteriori per trasportare ogni cosa, e ha la pessima abitudine di rubare le nostre scorte. Prima di ricostruire il campo, dobbiamo cacciare quel ladro!",Bandit mit Vogelhirn,Erjage einen Kulu-Ya-Ku.,Der Kulu-Ya-Ku nutzt seine Vorderbeine zum Tragen von Objekten. So kann er wichtige Vorräte entwenden. Erster Schritt beim Wiederaufbau eines sicheren Lagers: Den Dieb jagen!,Bandido con cerebro de pájaro,Caza un Kulu-Ya-Ku,"El Kulu-Ya-Ku utiliza sus hábiles antebrazos para cargar con objetos. Si dejas suministros a la vista, los robará. Si quieres tener un campamento seguro, acaba con ese ladrón.",Bandido Cabeça de Passarinho,Cace um Kulu-Ya-Ku,O Kulu-Ya-Ku usa os antebraços habilidosos para carregar objetos. Ele é capaz de levar um monte de suprimentos essenciais se tiver a chance. Cace esse ladrãozinho!,Bandyta o ptasim móżdżku,Upoluj Kulu-Ya-Ku,"Zręczne przedramiona pozwalają Kulu-Ya-Ku nosić przedmioty. Trzeba coś zrobić, bo może wynieść ważne zaopatrzenie. Odbudowę obozu zacznijmy od złowienia tego złodziejaszka!",Пернатый разбойник,Выследить кулу-йа-ку.,Цепкие передние лапы кулу-йа-ку так и тянутся к оставленным без присмотра ценным припасам. Мы должны восстановить безопасность лагеря. Шаг первый: выследить этого воришку!,캠프 설치에 목숨을 걸어라,쿠루루야크 사냥,"쿠루루야크는 앞다리를 능숙하게 사용해서 물건을 껴안아. 그러니 방치한다면 중요한 자재들이 망가질 거야. 안전한 캠프를 재건하기 위해서도, 사냥 잘 부탁합니다!",致力於設置營地,狩獵搔鳥,搔鳥可靈活使用前腳抱住物體。 若是置之不理，重要的資材會被弄得一團亂的。 為了能安全地重建營地，麻煩你前去狩獵！,قاطع الطريق الأبله,صيد كولو-يا-كو,يستخدم كولو-يا-كو ساعديه لحمل الأغراض. إذا لم يتم تفقده يصبح عرضة للفرار بإمدادات ضرورية. الخطوة الأولى في إعادة تشييد معسكر آمن هي صيد هذا اللص!,
205,Urgent: Pukei-Pukei Hunt,Hunt a Pukei-Pukei,That Pukei-Pukei is none too pleased to have that slag in its territory. It'll be even less pleased if we send in our scholars to research it. Looks like we have to put it down.,緊急任務・プケプケの狩猟,プケプケの狩猟,マグダラオスの到来により、なわばりを荒らされたプケプケの気が 立っている。放置は危険極まりない。奴のなわばりに在るマグダラ オスの痕跡を調査する為にも、プケプケの緊急狩猟を頼む。,Urgent : Chasse au Pukei-Pukei,Chasser un Pukei-Pukei,Ce Pukei-Pukei n'apprécie pas beaucoup d'avoir un énorme rocher volcanique sur son domaine et il appréciera encore moins de voir des érudits l'étudier. Il nous faut l'éliminer.,Urgente: caccia al Pukei-Pukei,Caccia un Pukei-Pukei,"Quel Pukei-Pukei non vede di buon occhio gli strani resti nel suo territorio, e sarà ancora meno felice di accogliere le schiere dei nostri eruditi. Non ci resta che eliminarlo!",Dringend: Pukei-Pukei-Jagd,Erjage einen Pukei-Pukei.,"Der Pukei-Pukei ist nicht über die Schlacke in seinem Gebiet erfreut. Es wird ihn noch weniger freuen, wenn wir Gelehrte zum Forschen schicken. Er muss wohl getötet werden.",Urgente: la caza del Pukei-Pukei,Caza un Pukei-Pukei,Ese Pukei-Pukei está furioso por tener ese desecho en su territorio. Aún lo estará más si enviamos eruditos a trabajar allí. Parece que tendremos que acabar con él.,Urgente: Caça ao Pukei-Pukei,Cace um Pukei-Pukei,Aquele Pukei-Pukei não ficou feliz com a invasão de seu território. E duvido que a visita dos nossos cientistas melhore o humor dele. Parece que o jeito vai ser abatê-lo.,Pilne: łowy na Pukei-Pukei,Upoluj Pukei-Pukei,Temu Pukei-Pukei nie podoba się żużel na jego terytorium. Tym bardziej nie spodobają mu się nasi badacze. Musimy go załatwić.,Срочно: охота на поки-поки,Выследить поки-поки.,"Этот поки-поки явно не рад кучке непрошеных гостей на его территории. И уж тем более его не обрадуют ученые, которых мы отправим туда для исследования. Похоже, придется с ним разобраться.",긴급 임무: 푸케푸케 사냥,푸케푸케 사냥,"마그다라오스가 와서 영역이 어지럽혀진 푸케푸케가 흥분해 있 다. 방치하면 극히 위험하니 녀석의 영역에 있는 마그다라오스의 흔적을 조사하기 위해서라도, 푸케푸케의 긴급 사냥을 부탁한다.",緊急任務‧狩獵毒妖鳥,狩獵毒妖鳥,因熔山龍的到來，讓被侵入地盤的毒妖鳥變得很暴躁。 若置之不理會非常危險。為了調查闖入牠們地盤的 熔山龍之痕跡，麻煩你緊急狩獵毒妖鳥。,عاجل: صيد بوكي-بوكي,صيد بوكي-بوكي,هذا البوكي-بوكي ليس سعيدًا بوجود هذه الفضلات في أرضه. وسيستاء أكثر إذا أرسلنا علماءنا لفحصها. يبدو أنه ينبغي علينا التخلص منه.,
301,The Best Kind of Quest,Complete the assignment,Something surely left by Zorah Magdaros was discovered out in the Wildspire Waste. Fifth Fleet hunters: Keep our scholars safe as you escort them out to investigate this new evidence.,猪突猛進の輩達！？,任務の達成,大蟻塚の荒地でマグダラオスの痕跡が発見された。５期団のハン ターは、痕跡回収を行う学者を、現地まで護衛するよう。大型 モンスターと遭遇した場合は、学者の安全を優先し、狩猟を頼む。,Sous bonne escorte,Compléter la mission,On a trouvé ce qui pourrait être des traces du Zorah Magdaros dans le Désert des termites. Chasseurs de la Cinquième : protégez les érudits pendant leur enquête.,La missione ideale,Completa l'incarico,"Abbiamo scoperto delle tracce dello Zorah Magdaros sulle Guglie selvagge. Cacciatori della Quinta, scortate gli eruditi e proteggeteli durante le loro indagini.",Die beste Art von Quest,Schließe die Aufgabe ab.,"In der Wildturm-Ödnis wurde etwas entdeckt, das wohl der Zorah Magdaros zurückgelassen hat. Jäger der Fünften: Schütz unsere Gelehrten, wenn du sie zur Untersuchung eskortierst.",El mejor tipo de misión,Completa el encargo,"Se ha descubierto algo en el Yermo de Agujas relacionado con Zorah Magdaros. Cazadores de la 5.ª, proteged a nuestros eruditos, escoltadlos hasta allí para que investiguen.",O Melhor Tipo de Missão,Conclua o serviço,Descobriram algo no Ermo Selvagulha que de certo foi o Zorah Magdaros que deixou para trás. Caçadores da Quinta Frota: protejam os cientistas para investigarmos essa evidência.,Zadanie najlepszego sortu,Ukończ zlecenie,"Na Pustkowiu Dzikowieży odkryto coś, co na pewno pozostawił Zorah Magdaros. Łowcy z Piątej Floty: chrońcie naszych uczonych, którzy zbadają nowe znalezisko.",Самое приятное задание,Выполнить задание.,"Мы обнаружили в Дикогорье кое-что, явно оставленное Дзорой Магдаросом. Охотники пятого флота! Обеспечьте нашим ученым безопасное сопровождение для изучения следов.",저돌적인 놈들,임무 달성,개밋둑의 황야에서 마그다라오스의 흔적이 발견되었다. 5기단 멤버는 흔적 회수를 가는 학자를 현지까지 호위하도록. 대형 몬스터와 조우할 경우엔 학자의 안전을 우선하여 사냥해라.,橫衝直撞的狂徒們！？,達成任務,在大蟻塚荒地中發現了熔山龍的痕跡。五期團的獵人 請護衛要前往當地回收痕跡的學者。若遭遇大型魔物時， 請以學者的安全為優先，再狩獵魔物。,أفضل مهمة,أكمل التكليف,اكتُشف شيء ما تركه زوراه ماغداروس في أنقاض الهياكل الشرسة. صيادو الأسطول الخامس: حافظوا على سلامة علمائنا أثناء مرافقتهم لاستقصاء هذا الدليل الجديد.,
302,Sinister Shadows in the Swamp,Complete the assignment,A young scholar has gotten separated from his escort out in the Wildspire Waste. Find him and escort him back to base. Neutralize any large monsters that pose a threat.,不穏の沼影,任務の達成,生態研究所の学者が一人、大蟻塚の荒地にて行方不明となって いる。５期団のハンターは速やかに学者を捜索するよう。大型 モンスターと遭遇した場合は、学者の安全を優先し、狩猟を頼む。,Marécage mortel,Compléter la mission,"Un jeune chercheur s'est retrouvé séparé de son escorte dans le Désert des termites. Retrouve-le et ramène-le à la base, en éliminant tout grand monstre qui te semble dangereux.",Ombre sinistre nella palude,Completa l'incarico,"Un giovane erudito è rimasto separato dalla sua scorta sulle Guglie selvagge. Trovalo, riportalo alla base e neutralizza qualsiasi mostro di grandi dimensioni possa minacciarlo.",Unheimliche Schatten im Sumpf,Schließe die Aufgabe ab.,"Ein junger Gelehrter wurde in der Wildturm-Ödnis von seiner Eskorte getrennt. Finde ihn und bring ihn zurück zur Basis. Schalte große Monster aus, die eine Bedrohung darstellen.",Sombras en el pantano,Completa el encargo,Un joven investigador se ha separado del grupo en el Yermo de Agujas. Encuéntralo y escóltalo de vuelta a la base. Neutraliza cualquier monstruo que represente una amenaza.,Sombras Sinistras no Pântano,Conclua o serviço,Um jovem cientista se separou de sua escolta no Ermo Selvagulha. Encontre-o e escolte-o de volta à base. Neutralize quaisquer monstros que representem uma ameaça.,Złowrogi cień na bagnach,Ukończ zlecenie,Młody uczony odłączył się od eskorty na Pustkowiu Dzikowieży. Znajdź go i przyprowadź bezpiecznie do bazy. Zlikwiduj duże potwory stanowiące zagrożenie.,Жуткие тени на болоте,Выполнить задание.,"Молодой ученый отбился от сопровождения в Дикогорье. Найди его и приведи на базу. Будь <LSNR {готов}{готова}> нейтрализовать любое крупное чудовище, представляющее угрозу.",늪의 불온한 그림자,임무 달성,생태연구소의 학자 한 사람이 개밋둑의 황야에서 행방불명 되었다. 5기단 헌터는 서둘러 학자를 찾아오도록. 대형 몬스터와 조우할 경우엔 학자의 안전을 우선하여 사냥해라.,險惡的沼澤,達成任務,生態研究所的一名學者在大蟻塚荒地失蹤了。 五期團的獵人請盡速前往搜尋學者。若遭遇大型魔物時， 請以學者的安全為優先，再狩獵魔物。,الظلال المشؤومة في المستنقع,أكمل التكليف,افترق عالم شاب عن مرافقيه في أنقاض الهياكل الشرسة. اعثر عليه وعد به إلى القاعدة. أضعف أي وحوش ضخمة قد تشكل تهديدًا.,
305,Flying Sparks: Tobi-Kadachi,Hunt a Tobi-Kadachi,"Oh, my! That Tobi-Kadachi sure is getting in the way of progress! You hunters will never get a hold of these specialized tools I'm making if I become its dinner!",電影走るはトビカガチ,トビカガチの狩猟,今後厳しくなる調査に備えて、ハンター全員に特殊装具を支給 したいんだけど、森にトビカガチがいてね。トビカガチを狩猟 してくれたら、材料集めに行けるんだ。,Étincelles : Tobi-Kadachi,Chasser un Tobi-Kadachi,Ce Tobi-Kadachi barre la route du progrès ! Je ne serai jamais en mesure de finir ces outils de survie si je lui sers de casse-croûte !,Scintille volanti: Tobi-Kadachi,Caccia un Tobi-Kadachi,"Oh, santi numi! Quel Tobi-Kadachi ostacola l'avanzata del progresso! Se finissi dritto nel suo stomaco, non potrei ultimare gli strumenti dedicati per voi cacciatori!",Fliegende Funken: Tobi-Kadachi,Erjage einen Tobi-Kadachi.,"Dieser Tobi-Kadachi kommt uns wirklich in die Quere! Ihr Jäger werdet meine Spezialwerkzeuge nie bekommen, wenn er mich zum Abendessen verspeist!",Saltan chispas: Tobi-Kadachi,Caza un Tobi-Kadachi,¡Ese Tobi-Kadachi impide claramente el progreso! ¡No podréis probar estas herramientas especializadas que estoy creando si me come antes de que termine!,Faíscas Voando: Tobi-Kadachi,Cace um Tobi-Kadachi,Minha nossa! Aquele Tobi-Kadachi com certeza está nos atrapalhando! Os caçadores nunca conhecerão as novas ferramentas especiais se eu virar o jantar dele!,Sypie iskrami: Tobi-Kadachi,Upoluj Tobi-Kadachi,"Ojej! Ależ ten Tobi-Kadachi przeszkadza nam w pracy! Łowcy, nigdy nie skorzystacie z moich narzędzi specjalistycznych, jeśli mnie pożre!",Летающие искры: тоби-кадачи,Выследить тоби-кадачи.,"Ну и ну! Этот тоби-кадачи явно стоит на пути прогресса! Нет, ребята, никаких вам больше специальных инструментов, если он мною пообедает!",번개처럼 달리는 토비카가치,토비카가치 사냥,"앞으로 험난할 조사에 대비하여 헌터 전원에게 특수 장비를 지급 하고 싶지만, 숲에 토비카가치가 있어서 말이야. 토비카가치를 사냥해주면 재료를 모으러 갈 수가 있다고.",雷電奔走的飛雷龍,狩獵飛雷龍,為了準備今後將會更嚴峻的調查， 希望補給特殊裝備給所有獵人，但森林中有飛雷龍。 只要狩獵了飛雷龍，就能前去收集材料了。,تطاير الشرر: توبي-كاداتشي,صيد توبي-كاداتشي,يا إلهي! يعيق هذا التوبي-كاداتشي من تقدمنا! لن تحصلوا أيها الصيادون على هذه الأدوات المخصصة التي أصنعها إذا تحولت إلى وجبة غذائه!,
306,The Encroaching Anjanath,Hunt an Anjanath,"As we're gearing up to capture Zorah Magdaros, we need to secure Astera as much as we can. It's too much of a risk to have that Anjanath roaming so close to base.",森の暴れん坊・アンジャナフ,アンジャナフの狩猟,いつぞや５期団を手荒く歓迎したアンジャナフが、アステラに 迫っている。捕獲作戦で拠点からハンターが出払う今、作戦に 憂いなく掛かるためにも、拠点の守護の総仕上げといこう。,Un Anjanath envahissant,Chasser un Anjanath,"Avant de capturer le Zorah Magdaros, on doit sécuriser Astera au maximum. L'Anjanath qui rôde non loin de la base se fait beaucoup trop menaçant.",Quell'invadente di un Anjanath,Caccia un Anjanath,Ci stiamo preparando a catturare lo Zorah Magdaros e dobbiamo assicurarci che Astera non corra rischi. L'Anjanath che vaga intorno alla base rappresenta una minaccia inaccettabile.,Der nahende Anjanath,Erjage einen Anjanath.,"Während wir uns auf den Fang des Zorah Magdaros vorbereiten, müssen wir Astera so weit wie möglich absichern. Es ist riskant, wenn der Anjanath der Basis so nahekommt.",El Anjanath invasor,Caza un Anjanath,"Mientras nos preparamos para capturar a Zorah Magdaros, debemos asegurar Astera al máximo. Tener un Anjanath rondando la base es demasiado peligroso.",O Anjanath Invasor,Cace um Anjanath,"Enquanto nos preparamos para capturar Zorah Magdaros, precisamos deixar Astera o mais segura possível. É muito arriscado deixar aquele Anjanath vagando tão perto da base.",Nadejście Anjanatha,Upoluj Anjanatha,Podczas przygotowań do schwytania Zoraha Magdarosa musimy jak najlepiej zabezpieczyć Asterę. Anjanath kręcący się blisko bazy stanowi zbyt duże zagrożenie.,Вторжение аньяната,Выследить аньяната.,"Раз уж мы собираемся ловить Дзору Магдароса, нужно максимально обезопасить Астеру. Оставлять базу без присмотра, пока рядом бродит аньянат, слишком рискованно.",숲의 깡패: 안쟈나프,안쟈나프 사냥,"일전에 5기단을 거칠게 환영했던 안쟈나프가 아스테라로 다가 오고 있다. 포획 작전으로 거점에서 헌터들이 전부 나간 지금, 걱정 없이 작전을 하기 위해서라도 거점 수호를 성공시키자.",森林暴徒‧蠻顎龍,狩獵蠻顎龍,先前曾粗暴歡迎第五期團的蠻顎龍，即將逼近星辰。 現在據點中的獵人全出動去捕獲作戰了，為了能夠 毫無牽掛地進行作戰，現在前去據點做最後防衛吧。,أنجاناث المتجاوز,صيد أنجاناث,بينما نعدّ قوتنا لأسر زوراه ماغداروس، ينبغي علينا تأمين أستيرا بقدر المستطاع. من الخطر جدًا أن يكون أنجاناث في الأرجاء بالقرب من القاعدة.,
401,One for the History Books,Complete the assignment,At dawn we'll attempt what no one in history has dared: Capture an elder dragon! Make your preparations and proceed to the site. May the Sapphire Star guide us all.,ゾラ・マグダラオス捕獲作戦,任務の達成,これより大峡谷にて、ゾラ・マグダラオスの捕獲作戦を実行する。 作戦開始は夜明けと同時。ハンター達は各自、クエストを受注し、 現地に向かえ。我々に、導きの青い星が輝かんことを。,Tenter l'impossible,Compléter la mission,Nous tenterons à l'aube ce que personne n'a jamais osé : capturer un dragon ancien ! Prépare-toi et rends-toi sur le site. Que l'Étoile de saphir nous guide !,È ora di scrivere la storia,Completa l'incarico,"All'alba, affronteremo un'impresa mai tentata prima: la cattura di un drago anziano! È tempo di prepararsi e partire. Che la stella di zaffiro ci illumini il cammino.",In die Geschichtsbücher eingehen,Schließe die Aufgabe ab.,"Bei Sonnenaufgang wagen wir etwas, was niemand gewagt hat: einen Drachenältesten zu fangen! Bereite dich vor und gehe dorthin. Möge der Saphirstern uns allen den Weg weisen!",Una para hacer historia,Completa el encargo,"Cuando amanezca, intentaremos lo que nadie osó probar: ¡Capturar un dragón anciano! Preparaos y dirigíos hacia allí, y que la Estrella Azul nos guíe a todos.",Para Entrar para a História,Conclua o serviço,"Ao amanhecer, tentaremos algo inédito na história: capturar um Dragão Ancião! Façam os preparativos e prossigam para o local. Que a Estrela Safira nos guie!",Wiekopomna chwila,Ukończ zlecenie,"O świcie spróbujemy dokonać czegoś, czego nikt jeszcze nie śmiał zrobić: złapać Starszego Smoka! Przygotuj się i idź na miejsce. Niech Szafirowa Gwiazda nas prowadzi.",На века,Выполнить задание.,"На рассвете мы попытаемся сделать то, чего еще никто не осмеливался сделать: поймать древнего дракона! Подготовься, мы скоро выступаем. Да осветит наш путь Сапфировая звезда.",조라-마그다라오스 포획 작전,임무 달성,지금부터 대협곡에서 조라-마그다라오스 포획 작전을 실시 한다. 작전은 새벽에 시작한다. 헌터들은 각자 퀘스트를 수주해 현지로 출발하라. 길을 인도해 주는 푸른 별이 우리를 비추기를.,熔山龍捕獲作戰,達成任務,現在開始在大峽谷中，實行熔山龍的捕獲作戰。 作戰開始時間為凌晨。請獵人們各自承接任務，並前往當地。 願指引明路的蒼藍星為我們閃爍光輝。,لسجلات التاريخ,أكمل التكليف,عند بزوغ الفجر، سنحاول فعل ما لم يتمكن من فعله أحد من قبل: أسر تنين معمِّر! استعد واذهب إلى الموقع. فليكن نجم الياقوت الأزرق مرشدكم.,
