name_en,target,quantity,tempered,arch_tempered
Jagras of the Ancient Forest,Jagras,7,0,0
A Kestodon Kerfuffle,Kestadon (Male),3,0,0
A Kestodon Kerfuffle,Kestadon (Female),5,0,0
The Great Jagras Hunt,Great Jagras,1,0,0
Butting Heads with Nature,Kestadon (Female),7,0,0
Butting Heads with Nature,Kestadon (Male),5,0,0
A Thicket of Thugs,Jagras,7,0,0
Bird-Brained Bandit,Kulu-Ya-Ku,1,0,0
Urgent: Pukei-Pukei Hunt,Pukei-Pukei,1,0,0
The Great Glutton,Great Jagras,1,0,0
Camp Crasher,Kulu-Ya-Ku,1,0,0
Snatch the Snatcher,Kulu-Ya-Ku,1,0,0
The Pain from Gains,Gajau,7,0,0
Exterminator of the Waste,Vespoid,14,0,0
The Best Kind of Quest,Barroth,1,0,0
Sinister Shadows in the Swamp,Jyuratodus,1,0,0
Flying Sparks: Tobi-Kadachi,Tobi-Kadachi,1,0,0
The Encroaching Anjanath,Anjanath,1,0,0
Special Arena: Pukei-Pukei,Pukei-Pukei,1,0,0
Special Arena: Barroth,Barroth,1,0,0
Special Arena: Tobi-Kadachi,Tobi-Kadachi,1,0,0
Scatternut Shortage,Pukei-Pukei,1,0,0
The Current Situation,Tobi-Kadachi,1,0,0
Mired in the Spire,Barroth,1,0,0
The Piscine Problem,Jyuratodus,1,0,0
Landing the Landslide Wyvern,Barroth,1,0,0
One for the History Books,Zorah Magdaros,1,0,0
Ballooning Problems,Paolumu,1,0,0
Radobaan Roadblock,Radobaan,1,0,0
Legiana: Embodiment of Elegance,Legiana,1,0,0
Special Arena: Anjanath,Anjanath,1,0,0
Special Arena: Rathian,Rathian,1,0,0
Special Arena: Paolumu,Paolumu,1,0,0
Special Arena: Radobaan,Radobaan,1,0,0
One Helluva Sinus Infection,Anjanath,1,0,0
Royal Relocation,Rathian,1,0,0
It's a Crying Shamos,Shamos,11,0,0
A Tzitzi for Science,Tzitzi-Ya-Ku,1,0,0
Sorry You're Not Invited,Paolumu,1,0,0
White Monster for a White Coat,Paolumu,1,0,0
Persistent Pests,Hornetaur,14,0,0
A Rotten Thing To Do,Great Girros,1,0,0
A Bone to Pick,Radobaan,1,0,0
On Nightmare's Wings,Raphinos,5,0,0
Into the Bowels of the Vale,Odogaron,1,0,0
A Fiery Throne Atop the Forest,Rathalos,1,0,0
Horned Tyrant Below the Sands,Diablos,1,0,0
A Colossal Task,Zorah Magdaros,1,0,0
A Colossal Task,Nergigante,1,0,0
Special Arena: Legiana,Legiana,1,0,0
Special Arena: Odogaron,Odogaron,1,0,0
Special Arena: Rathalos,Rathalos,1,0,0
Special Arena: Diablos,Diablos,1,0,0
When Desire Becomes an Obsession,Rathalos,1,0,0
"Redefining the ""Power Couple""",Rathalos,1,0,0
Infernal Monarchy,Rathian,1,0,0
Twin Spires Upon the Sands,Diablos,1,0,0
A Humid Headache,Legiana,1,0,0
Gone in a Flash,Kirin,1,0,0
Scratching the Itch,Odogaron,1,0,0
Man's Best Fiend,Odogaron,1,0,0
Invader in the Waste,Pukei-Pukei,1,0,0
Tickled Pink,Anjanath,1,0,0
Old World Monster in the New World,Pink Rathian,1,0,0
Special Arena: HR Pukei-Pukei,Pukei-Pukei,1,0,0
Special Arena: HR Barroth,Barroth,1,0,0
Special Arena: HR Tobi-Kadachi,Tobi-Kadachi,1,0,0
Special Arena: HR Anjanath,Anjanath,1,0,0
Special Arena: HR Rathian,Rathian,1,0,0
Special Arena: HR Paolumu,Paolumu,1,0,0
Special Arena: HR Radobaan,Radobaan,1,0,0
Left Quite the Impression,Zorah Magdaros,1,0,0
Hard to Swallow,Great Jagras,1,0,0
Googly-eyed Green Monster,Pukei-Pukei,1,0,0
A Hair-Raising Experience,Tobi-Kadachi,1,0,0
It Can't See You if You Don't Move,Anjanath,1,0,0
The Sleeping Sylvan Queen,Rathian,1,0,0
Stuck in Their Ways,Tobi-Kadachi,1,0,0
Keep Your Hands to Yourself!,Kulu-Ya-Ku,1,0,0
A Crown of Mud and Anger,Barroth,1,0,0
Pukei-Pukei Ambush,Pukei-Pukei,1,0,0
Up to Your Waist in the Waste,Jyuratodus,1,0,0
"Brown Desert, Green Queen",Rathian,1,0,0
Trespassing Troublemaker,Anjanath,1,0,0
Say Cheese!,Tzitzi-Ya-Ku,1,0,0
Loop the Paolumu,Paolumu,1,0,0
