name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Poison Resistance,Reduces damage while poisoned.,毒耐性,毒状態の時に受けるダメージを減らす。,Toxicologie,Réduit les dégâts subis en cas d'empoisonnement.,Resistenza veleno,Riduce i danni durante l’avvelenamento.,Giftwiderstand,Verringert den Schaden bei Vergiftungen.,Anti veneno,Reduce el daño al estar envenenado.,Resistência a Veneno,Reduz dano de veneno.,Odporność na Truciznę,Zmniejsza obrażenia od trucizny.,Сопротивление яду,Уменьшает урон при отравлении.,독 내성,독 상태에서 받는 데미지가 줄어든다.,毒耐性,減少毒狀態時所受到的傷害。,مقاومة السم,تقلل الضرر عند الإصابة بالسم.
Paralysis Resistance,Reduces the duration of paralysis.,麻痺耐性,麻痺状態の時間を短くする。,Antiparalysie,Augmente la résistance contre la paralysie.,Resistenza paralisi,Riduce la durata della paralisi.,Lähmungswiderstand,Reduziert die Dauer von Lähmungen.,Anti parálisis,Reduce o elimina los efectos de la parálisis.,Resistência a Paralisia,Reduz a duração da paralisia.,Odporność na Paraliż,Zmniejsza czas trwania paraliżu.,Сопротивление параличу,Сокращает действие паралича.,마비 내성,마비 상태의 시간을 단축한다.,麻痺耐性,縮短麻痺狀態的時間。,مقاومة الشلل,تقلل فترة الإصابة بالشلل.
Sleep Resistance,Reduces the duration of sleep.,睡眠耐性,睡眠状態の時間を短くする。,Insomnie,Augmente la résistance contre le sommeil.,Resistenza sonno,Riduce la durata del sonno.,Schlafwiderstand,Verringert die Dauer von Schlaf.,Anti sueño,Reduce o elimina los efectos del sueño.,Resistência a Sono,Reduz a duração do sono.,Odporność na Uśpienie,Zmniejsza czas trwania uśpienia.,Сопротивление сну,Сокращает действие усыпления.,수면 내성,수면 상태의 시간을 단축한다.,睡眠耐性,縮短睡眠狀態的時間。,مقاومة النوم,تقلل فترة النوم.
Stun Resistance,Reduces stun duration.,気絶耐性,気絶状態の時間を短くする。,Crâne d'acier,Augmente la résistance contre les étourdissements.,Resistenza stordimento,Riduce la durata dello stordimento.,Betäubungswiderst.,Reduziert die Dauer von Betäubungen.,Anti aturdimiento,Reduce la duración del aturdimiento.,Resistência Atordoamento,Reduz a duração do atordoamento.,Odporność na Ogłuszenie,Zmniejsza czas trwania ogłuszenia.,Сопротивление оглушению,Сокращает действие оглушения.,기절 내성,기절 상태의 시간을 단축한다.,昏厥耐性,縮短昏厥狀態的時間。,مقاومة الصعق,تقلل فترة تأثير الصعق.
Muck Resistance,Reduces impairments to mobility while stuck in monster muck.,泥耐性,モンスターの発生させた泥地での 行動制限を軽減する。,Anti-fange,Réduit les entraves à la mobilité quand vous êtes dans la fange d'un monstre.,Resistenza melma,Riduce le limitazioni di movimento se impantanato nella melma di mostro.,Mist-Widerstand,"Reduziert Bewegungseinschränkungen, wenn du in Monstermist feststeckst.",Anti fango,Reduce la movilidad impedida cuando estás atrapado en fango de monstruo.,Resistência a Muco,Reduz dificuldades de mobilidade quando estiver preso em muco de monstro.,Odporność na Wydzieliny,"Zmniejsza ograniczenia związane z mobilnością, kiedy poruszasz się w wydzielinach potwora.",Сопротивление замедлению,Уменьшает штрафы к подвижности при застревании в помете чудовищ.,진흙 내성,몬스터가 발생시킨 진창에서의 행동 제한을 감소한다.,泥耐性,減輕魔物引發在泥地 的行動限制。,مقاومة الوحل,تقلل ضعف الحركة أثناء الصعق في وحل الوحش.
Blast Resistance,Grants protection against blastblight.,爆破やられ耐性,爆破やられに対する耐性を持つ。,Anti-explosion,Augmente la résistance contre les fléaux-explosions.,Resistenza scoppio,Protegge dal malus da scoppio.,Explosionswiderstand,Gewährt Schutz gegen Explosionspest.,Anti nitro,Reduce o elimina los efectos de la plaga de nitro.,Resistência a Explosão,Concede proteção contra flagelo de explosão.,Odporność na Wybuch,Zapewnia ochronę przed wybuchoplagą.,Сопротивление взрыву,Защищает от взрывной порчи.,폭파 피해 내성,폭파 피해에 대한 내성을 얻는다.,爆破異常狀態的耐性,擁有對爆破異常狀態的耐性。,مقاومة الانفجار,توفر الحماية من الانفجار.
Bleeding Resistance,Grants protection against bleeding.,裂傷耐性,裂傷状態に対する耐性を持つ。,Anti-hémorragie,Augmente la résistance contre les hémorragies.,Resistenza sanguinamento,Protegge dal sanguinamento.,Blutungswiderstand,Gewährt Schutz gegen Blutungen.,Anti sangrado,Reduce o anula el sangrado.,Resistência Sangramento,Concede proteção contra sangramento.,Odporność na Krwawienie,Zapewnia ochronę przed krwawieniem.,Сопр. кровотечению,Защищает от кровотечения.,열상 내성,열상 상태에 대한 내성을 얻는다.,裂傷耐性,擁有對裂傷狀態的耐性。,مقاومة النزيف,توفر الوقاية من النزيف.
Iron Skin,Grants protection against Defense Down.,防御力ＤＯＷＮ耐性,防御力ＤＯＷＮに対する耐性を持つ。,Peau de fer,Augmente la résistance contre les effets de Fragilité.,Pelle di ferro,Protegge da difesa ridotta.,Eisenhaut,Gewährt Schutz gegen Verringerte Verteidigung.,Anti reducción de defensa,Protege contra la defensa reducida.,Pele de Ferro,Concede proteção contra Defesa Reduzida.,Żelazna Skóra,Zapewnia ochronę przed Spadkiem Obrony.,Железная кожа,Предотвращает понижение защиты.,방어력 DOWN 내성,방어력 DOWN에 대한 내성을 얻는다.,防禦力DOWN耐性,擁有對防禦力DOWN的耐性。,الجلد الحديدي,توفر الوقاية من إضعاف الدفاع.
Earplugs,Grants protection from large monsters' roars.,耳栓,大型モンスターの咆哮に対する 耐性を持つ。,Bouchon d'oreilles,Affecte la résistance contre les rugissements.,Protezione udito,Protegge dai ruggiti di alcuni mostri grandi.,Ohrstöpsel,Gewährt Schutz gegen das Brüllen großer Monster.,Anti rugidos,Protege contra los rugidos de monstruos grandes.,Tampões,Concede proteção contra o rugido de monstros grandes.,Zatyczki do Uszu,Zapewnia ochronę przed rykiem dużych potworów.,Наушники,Защищает от рыка крупных чудовищ.,귀마개,대형 몬스터의 포효에 대한 내성을 지닌다.,耳塞,擁有對大型魔物咆哮的 耐性。,سدادات الأذن,توفر الحماية من بعض أصوات زئير الوحوش الضخمة.
Windproof,Grants protection against wind pressure.,風圧耐性,風圧に対する耐性を持つ。,Pare-vent,Affecte la résistance contre les bourrasques.,Paravento,Protegge dalla pressione del vento.,Windsicher,Gewährt Schutz gegen Winddruck.,Anti viento,Reduce o anula los efectos de las ráfagas de viento.,Antivento,Concede proteção contra pressão de vento.,Wiatrochron,Zapewnia ochronę przed naporem wiatru.,Антиветер,Защищает от давления ветра.,풍압 내성,풍압에 대한 내성을 얻는다.,風壓耐性,擁有對風壓的耐性。,صد الرياح,توفر الحماية من ضغط الرياح.
