base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Poison Resistance,1,Reduces the number of times you take poison damage.,毒のダメージを受ける回数が少なくなる。,Réduit le nombre de fois que vous subissez des dégâts de poison.,Riduce il numero di volte in cui ricevi danni da avvelenamento.,"Verringert die Häufigkeit, mit der du Giftschaden nimmst.",Reduce las veces que sufres daños por veneno.,Reduz o número de vezes que você sofre dano de veneno.,Zmniejsza liczbę razy otrzymywania obrażeń od trucizn.,"Уменьшает то, сколько раз вы получаете урон от яда.",독 데미지를 받는 횟수가 줄어든다.,減少受到中毒傷害的次數。,تقلل عدد مرات الإصابة بضرر السم.
Poison Resistance,2,Greatly reduces the number of times you take poison damage.,毒のダメージを受ける回数がとても 少なくなる。,Réduit grandement le nombre de fois que vous subissez des dégâts de poison.,Riduce di molto il numero di volte in cui ricevi danni da avvelenamento.,"Verringert stark die Häufigkeit, mit der du Giftschaden nimmst.",Reduce en gran medida las veces que sufres daños por veneno.,Reduz bastante o número de vezes que você sofre dano de veneno.,Znacznie zmniejsza liczbę razy otrzymywania obrażeń od trucizn.,Существенно уменьшает количество раз получения урона от яда.,독 데미지를 받는 횟수가 매우 줄어든다.,大幅減少受到中毒傷害的次數。,تقلل بشكل كبير عدد مرات الإصابة بضرر السم.
Poison Resistance,3,Prevents poison.,毒状態にならない。,Protège du poison.,Previene il veleno.,Verhindert Vergiftung.,Anula los efectos del veneno.,Evita veneno.,Zapobiega zatruciu.,Предотвращает отравление.,독 상태가 되지 않는다.,不會變為中毒狀態。,تمنع تأثير السم.
Paralysis Resistance,1,Reduces the duration of paralysis by 30%.,麻痺状態の時間を３０％減らす。,Durée paralysie -30 %,Durata paralisi: -30%,Reduziert die Dauer von Lähmung um 30%.,Reduce la duración de la parálisis un 30%.,Reduz a duração de paralisia em 30%.,Skraca czas trwania paraliżu o 30%.,Сокращает действие паралича на 30%.,마비 상태의 시간을 30％ 줄인다.,減少麻痺狀態的時間３０％。,تقلل فترة الإصابة بالشلل بنسبة 30%.
Paralysis Resistance,2,Reduces the duration of paralysis by 60%.,麻痺状態の時間を６０％減らす。,Durée paralysie -60 %,Durata paralisi: -60%,Reduziert die Dauer von Lähmung um 60%.,Reduce la duración de la parálisis un 60%.,Reduz a duração de paralisia em 60%.,Skraca czas trwania paraliżu o 60%.,Сокращает действие паралича на 60%.,마비 상태의 시간을 60％ 줄인다.,減少麻痺狀態的時間６０％。,تقلل فترة الإصابة بالشلل بنسبة 60%.
Paralysis Resistance,3,Prevents paralysis.,麻痺状態にならない。,Protège de la paralysie.,Previene la paralisi.,Verhindert Lähmung.,Anula la parálisis.,Evita paralisia.,Zapobiega paraliżowi.,Предотвращает паралич.,마비 상태가 되지 않는다.,不會變為麻痺狀態。,تمنع الإصابة بالشلل.
Sleep Resistance,1,Reduces the duration of sleep by 30%.,睡眠状態の時間を３０％減らす。,Durée sommeil -30 %,Durata sonno: -30%,Reduziert die Dauer von Schlaf um 30%.,Reduce la duración del sueño un 30%.,Reduz a duração de sono em 30%.,Skraca czas trwania uśpienia o 30%.,Сокращает действие сна на 30%.,수면 상태의 시간을 30％ 줄인다.,減少睡眠狀態的時間３０％。,تقلل فترة النوم بنسبة 30%.
Sleep Resistance,2,Reduces the duration of sleep by 60%.,睡眠状態の時間を６０％減らす。,Durée sommeil -60 %,Durata sonno: -60%,Reduziert die Dauer von Schlaf um 60%.,Reduce la duración del sueño un 60%.,Reduz a duração de sono em 60%.,Skraca czas trwania uśpienia o 60%.,Сокращает действие сна на 60%.,수면 상태의 시간을 60％ 줄인다.,減少睡眠狀態的時間６０％。,تقلل فترة النوم بنسبة 60%.
Sleep Resistance,3,Prevents sleep.,睡眠状態にならない。,Protège du sommeil.,Previene il sonno.,Verhindert Schlaf.,Anula el sueño.,Evita sono.,Zapobiega uśpieniu.,Предотвращает сон.,수면 상태가 되지 않는다.,不會變為睡眠狀態。,تمنع النوم.
Stun Resistance,1,Reduces the duration of stun by 60%.,気絶状態の時間を６０％減らす。,Durée étourdissement -60 %,Durata stordimento: -60%,Verringert die Dauer von Betäubungen um 60%.,Reduce la duración del aturdimiento un 60%.,Reduz a duração de atordoamento em 60%.,Skraca czas trwania ogłuszenia o 60%.,Сокращает действие оглушения на 60%.,기절 상태의 시간을 60％ 줄인다.,昏厥狀態的時間減少６０％。,تقلل فترة تأثير الصعق بنسبة 60%.
Stun Resistance,2,Reduces the duration of stun by 90%.,気絶状態の時間を９０％減らす。,Durée étourdissement -90 %,Durata stordimento: -90%,Verringert die Dauer von Betäubungen um 90%.,Reduce la duración del aturdimiento un 90%.,Reduz a duração de atordoamento em 90%.,Skraca czas trwania ogłuszenia o 90%.,Сокращает действие оглушения на 90%.,기절 상태의 시간을 90％ 줄인다.,昏厥狀態的時間減少９０％。,تقلل فترة تأثير الصعق بنسبة 90%.
Stun Resistance,3,Prevents stun.,気絶状態にならない。,Protège des étourdissements.,Previene lo stordimento.,Verhindert Betäubung.,Anula el aturdimiento.,Evita atordoamento.,Zapobiega ogłuszeniu.,Предотвращает оглушение.,기절 상태가 되지 않는다.,不會變為昏厥狀態。,تمنع تأثير الصعق.
Muck Resistance,1,Reduces limits on movement speed and evasion.,移動速度、回避行動の制限を軽減。,Réduit les entraves à la vitesse de déplacement et à l'esquive.,Riduce le limitazioni di movimento.,Reduziert die Einschränkungen von Bewegungsgeschwindigkeit und Ausweichen.,Reduce las limitaciones a la velocidad de movimiento y esquiva.,Reduz limites em velocidade de movimento e evasão.,Zmniejsza ograniczenia szybkości ruchu i uników.,Снижает ограничение скорости движения и уклонения.,이동 속도와 회피 행동 제한이 줄어든다.,減輕移動速度、迴避行動的限制。,تقلل القيود على سرعة الحركة والتفادي.
Blast Resistance,1,Delays blastblight and reduces blast damage.,爆破までの時間が延長され、 爆破ダメージを軽減する。,Retarde et réduit les dégâts des fléaux-explosion.,Ritarda di poco il malus da scoppio. Riduce di poco i danni da scoppio.,Verzögert die Explosionspest und reduziert den Explosionsschaden.,Ralentiza la plaga de nitro y reduce el daño por explosión.,Retarda flagelo de explosão e reduz dano de explosão.,Opóźnia wybuchoplagę i zmniejsza obrażenia od wybuchu.,Откладывает действие взрывной порчи и снижает урон от взрыва.,"폭파까지의 시간이 연장되고, 폭파 데미지가 줄어든다.",延長爆破前的間隔時間， 減輕爆破時受到的傷害。,تأخر وباء الانفجار وتقلل ضرر الانفجار.
Blast Resistance,2,Greatly delays blastblight and greatly reduces blast damage.,爆破までの時間がさらに延長され、 爆破ダメージを大きく軽減する。,Retarde et réduit grandement les dégâts des fléaux-explosion.,Ritarda il malus da scoppio. Riduce i danni da scoppio.,Verzögert stark die Explosionspest und reduziert den Explosionsschaden stark.,Ralentiza mucho la plaga de nitro y reduce mucho el daño por explosión.,Retarda bastante flagelo de explosão e reduz dano de explosão.,Znacznie opóźnia wybuchoplagę i znacznie zmniejsza obrażenia od wybuchu.,Значительно откладывает действие взрывной порчи и снижает урон от взрыва.,"폭파까지의 시간이 더욱 연장되고, 폭파 데미지가 크게 줄어든다.",更加延長爆破前的間隔時間， 大幅減輕爆破時遭受的傷害。,تأخر وباء الانفجار بشكل كبير وتقلل ضرر الانفجار بشكل كبير.
Blast Resistance,3,Prevents blastblight.,爆破やられ状態にならない。,Protège des fléaux-explosion.,Previene il malus da scoppio.,Verhindert Explosionspest.,Anula la plaga de nitro.,Evita flagelo de explosão.,Zapobiega wybuchopladze.,Предотвращает взрывную порчу.,폭파 피해를 받지 않는다.,不會變為爆破異常狀態。,تمنع وباء الانفجار.
Bleeding Resistance,1,Reduces damage while bleeding.,裂傷状態によるダメージを 軽減する。,Réduit les dégâts subis en cas d'hémorragie.,Riduce i danni durante il sanguinamento.,Verringert den Schaden bei einer Blutung.,Reduce el daño al sangrar.,Reduz dano durante sangramento.,Zmniejsza obrażenia podczas krwawienia.,Снижает урон при кровотечении.,열상 상태에 의한 데미지를 줄인다.,將減輕裂傷狀態 造成的傷害。,تقلل الضرر أثناء النزيف.
Bleeding Resistance,2,Greatly reduces damage while bleeding.,裂傷状態によるダメージを 大きく軽減する。,Réduit grandement les dégâts subis en cas d'hémorragie.,Riduce notevolmente i danni durante il sanguinamento.,"Verringert stark den Schaden, während du unter einer Blutung leidest.",Reduce mucho el daño al sangrar.,Reduz bastante dano durante sangramento.,Znacznie zmniejsza obrażenia podczas krwawienia.,Значительно снижает урон при кровотечении.,열상 상태에 의한 데미지를 크게 줄인다.,大幅減輕裂傷狀態 造成的傷害。,تقلل الضرر أثناء النزيف بدرجة كبير.
Bleeding Resistance,3,Prevents bleeding.,裂傷状態にならない。,Protège des hémorragies.,Previene il sanguinamento.,Verhindert Blutungen.,Anula el sangrado.,Evita sangramento.,Zapobiega krwawieniu.,Предотвращает кровотечение.,열상 상태가 되지 않는다.,不會變為裂傷狀態。,تمنع النزيف.
Iron Skin,1,Reduces the duration of Defense Down by 50%.,防御力ＤＯＷＮ状態の時間を ５０％減らす。,Réduit la durée des effets de Fragilité de 50 %.,Durata difesa ridotta: -50%,Verringert die Dauer von Verringerte Verteidigung um 50%.,Reduce la duración de defensa reducida un 50%.,Reduz a duração de Defesa Reduzida em 50%.,Skraca czas trwania efektu Spadek Obrony o 50%.,Сокращает продолжительность понижения защиты на 50%.,방어력 DOWN 상태의 시간을 50％ 줄인다.,防禦力DOWN狀態的時間 減少５０％。,تقلل فترة إضعاف الدفاع بنسبة 50%.
Iron Skin,2,Reduces the duration of Defense Down by 75%.,防御力ＤＯＷＮ状態の時間を ７５％減らす。,Réduit la durée des effets de Fragilité de 75 %.,Durata difesa ridotta: -75%,Verringert die Dauer von Verringerte Verteidigung um 75%.,Reduce la duración de defensa reducida un 75%.,Reduz a duração de Defesa Reduzida em 75%.,Skraca czas trwania efektu Spadek Obrony o 75%.,Сокращает продолжительность понижения защиты на 75%.,방어력 DOWN 상태의 시간을 75％ 줄인다.,防禦力DOWN狀態的時間 減少７５％。,تقلل فترة إضعاف الدفاع بنسبة 75%.
Iron Skin,3,Prevents Defense Down.,防御力ＤＯＷＮ状態にならない。,Protège des effets de Fragilité.,Previene difesa ridotta.,Verhindert Verringerte Verteidigung.,Anula la defensa reducida.,Evita Defesa Reduzida.,Zapobiega Spadkowi Obrony.,Предотвращает понижение защиты.,방어력 DOWN 상태가 되지 않는다.,不會變為防禦力DOWN狀態。,تمنع إضعاف الدفاع.
