id,name_en,tool_type,duration,duration_upgraded,recharge,slot_1,slot_2,slot_3,icon_color
1,Ghillie Mantle+,mantle,120,,300,3,3,0,
2,Temporal Mantle+,mantle,120,,300,1,1,0,
3,Health Booster+,booster,60,100,150,0,0,0,
4,Rocksteady Mantle+,mantle,90,,360,1,1,0,
5,Challenger Mantle+,mantle,180,,300,3,3,0,
6,Vitality Mantle+,mantle,120,,360,4,2,0,
7,Fireproof Mantle+,mantle,180,,210,2,2,0,
8,Waterproof Mantle+,mantle,180,,210,2,2,0,
9,Iceproof Mantle+,mantle,180,,210,2,2,0,
10,Thunderproof Mantle+,mantle,180,,210,2,2,0,
11,Dragonproof Mantle+,mantle,120,,300,2,1,0,
12,Cleanser Booster+,booster,60,120,150,0,0,0,
13,Glider Mantle+,mantle,180,,120,4,4,0,
14,Evasion Mantle+,mantle,90,,300,2,2,0,
15,Impact Mantle+,mantle,90,,360,3,2,0,
16,Apothecary Mantle+,mantle,60,,210,3,2,0,
17,Immunity Mantle+,mantle,120,,210,3,2,0,
18,Affinity Booster+,booster,60,,180,0,0,0,
19,Bandit Mantle+,mantle,180,,210,3,1,0,
20,Assassin's Hood+,mantle,360,,180,3,2,0,
