name_en,name_base_en,description_en,name_ja,name_base_ja,description_ja,name_fr,name_base_fr,description_fr,name_it,name_base_it,description_it,name_de,name_base_de,description_de,name_es,name_base_es,description_es,name_pt,name_base_pt,description_pt,name_pl,name_base_pl,description_pl,name_ru,name_base_ru,description_ru,name_ko,name_base_ko,description_ko,name_zh,name_base_zh,description_zh,name_ar,name_base_ar,description_ar
Ghillie Mantle+,Ghillie Mantle,Conceals you from enemy view temporarily. The effect expires if you perform an attack or take damage.,隠れ身の装衣・改,隠れ身の装衣,一定時間、モンスターの視界から 身を隠せる。 攻撃を行うか、ダメージを受けると 効果が終了する。,Cape caméléon +,Cape caméléon,Rend temporairement invisible. L'effet s'arrête si vous attaquez ou subissez des dégâts.,Mantello mimetico+,Mantello mimetico,Ti rende temporaneamente invisibile. L'effetto svanisce se attacchi o subisci danni.,Ghillie-Mantel+,Ghillie-Mantel,"Macht dich kurzzeitig unsichtbar. Wenn du angreifst oder Schaden erleidest, endet die Wirkung.",Manto de camuflaje+,Manto de camuflaje,Te permite ocultarte de la visión del enemigo por un tiempo. El efecto se agota si lanzas un ataque o recibes algún daño.,Manto de Camuflagem+,Manto de Camuflagem,Oculta você temporariamente da visão inimiga. O efeito acaba se você atacar ou receber dano.,Opończa maskująca+,Opończa maskująca,"Tymczasowo ukrywa cię przed wzrokiem wroga. Efekt ustaje, kiedy zaatakujesz lub otrzymasz obrażenia.",Маскировочный покров+,Маскировочный покров,"Временно скрывает от врага. Эффект длится, пока вы не нападете или не получите урон.",은신 복장+,은신 복장,"일정 시간, 몬스터의 시야에서 몸을 숨긴다. 공격을 받거나 데미지를 입으면 효과가 종료된다.",隱身衣裝‧改,隱身衣裝,可在魔物的視野範圍內隱身 一段時間。 一旦進行攻擊或受到傷害， 隱身效果即失效。,عباءة غيلي+,عباءة غيلي,تخفيك عن العدو بشكل مؤقت. سينتهي التأثير إذا قمت بشن هجوم أو أُصبت بضرر.
Temporal Mantle+,Temporal Mantle,Nullifies damage from powerful attacks by automatically evading.,転身の装衣・改,転身の装衣,威力の高い攻撃を受けた時、 ダメージを無効化し、自動で 回避行動を行う。,Cape temporelle +,Cape temporelle,Annule les dégâts des attaques puissantes en esquivant automatiquement.,Mantello tecnico+,Mantello tecnico,Annulla i danni di attacchi potenti con una schivata automatica.,Lebensretter-Mantel+,Lebensretter-Mantel,Negiert den Schaden von kraftvollen Angriffen durch automatisches Ausweichen.,Manto temporal+,Manto temporal,Anula el daño de los ataques más poderosos al hacerte esquivar automáticamente.,Manto Temporal+,Manto Temporal,Anula dano de ataques poderosos esquivando automaticamente.,Opończa czasowa+,Opończa czasowa,"Automatycznie wykonuje uniki, by nie otrzymywać obrażeń przy potężnych atakach.",Временной покров+,Временной покров,"Спасайтесь от мощных атак, автоматически уклоняясь от них.",피신 복장+,피신 복장,위력이 높은 공격을 받았을 때 데미지를 무효화하고 자동으로 회피 행동을 한다.,轉身衣裝‧改,轉身衣裝,受到高威力的攻擊時， 使傷害無效， 並自動採取迴避行動。,عباءة مؤقّتة+,عباءة مؤقّتة,تبطل مفعول ضرر الهجمات القوية عن طريق التفادي التلقائي.
Health Booster+,Health Booster,Places a smoker that gradually restores your health.,癒しの煙筒・改,癒しの煙筒,煙筒を設置し、プレイヤーの体力を 徐々に回復させる煙を発生させる。,Amplificateur de vie +,Amplificateur de vie,Place un fumigateur qui régénère petit à petit la vie.,Bengala guaritore+,Bengala guaritore,Posiziona un fumogeno che ripristina gradualmente la salute.,Gesundheit-Booster+,Gesundheit-Booster,"Platziert eine Räucher-Vorrichtung, die langsam deine Gesundheit regeneriert.",Potenciador de salud+,Potenciador de salud,Coloca una bengala que produce un humo que te hace recuperar salud progresivamente.,Reforço de Vida+,Reforço de Vida,Aplica uma cortina de fumaça que recupera aos poucos sua vida.,Wzmocnienie zdrowia+,Wzmocnienie zdrowia,"Ustawia świecę dymną, która stopniowo przywraca ci zdrowie.",Усилитель здоровья+,Усилитель здоровья,"Дымовая шашка, которая постепенно восстанавливает ваше здоровье.",치유의 연통+,치유의 연통,연통을 설치해서 플레이어의 체력을 서서히 회복시키는 연기를 피운다.,療癒煙筒‧改,療癒煙筒,設置煙筒，放出能逐漸恢復玩家 體力的煙。,معزز الصحة+,معزز الصحة,يضع مدخنة تستعيد صحتك تدريجيًا.
Rocksteady Mantle+,Rocksteady Mantle,"Eliminates damage reactions, prevents wind effects, protects your hearing, and grants tremor resistance. You also receive less damage from attacks.",不動の装衣・改,不動の装衣,ダメージのリアクションが無くなり 風圧無効、聴覚保護、耐震の 効果を得る。 受けるダメージが減少する。,Cape immuable +,Cape immuable,"Annule les réactions aux dégâts, les bourrasques, protège l'ouïe, augmente la résistance aux secousses, et réduit les dégâts reçus.",Mantello stabilità+,Mantello stabilità,"Elimina le reazioni ai danni, previene gli effetti del vento, protegge l'udito. Fornisce resistenza sisma, riduce i danni.",Trutzmantel+,Trutzmantel,"Eliminiert Schadensreaktionen, verhindert Windeffekte und schützt dein Gehör sowie vor Erschütterungen. Mindert außerdem Schaden von Angriffen.",Manto de firmeza+,Manto de firmeza,"Evita que reacciones al daño, los efectos del viento y temblores y protege tu oído. Reduce el daño recibido por ataques.",Manto Rochafirme+,Manto Rochafirme,"Elimina reações a dano, previne efeitos de vento, protege sua audição e dá resistência a tremor. Você também recebe menos dano de ataques.",Opończa stabilności+,Opończa stabilności,"Eliminuje reakcje na obrażenia, osłania przed efektami wiatru, chroni słuch i daje odporność na wstrząsy. Zmniejsza też obrażenia od ataków.",Покров скалы+,Покров скалы,"Снимает реакцию на урон, устраняет эффекты ветра и защищает слух. Обеспечивает устойчивость к тряске и снижает полученный урон.",부동 복장+,부동 복장,"데미지 리액션이 없어지고 풍압 무효, 청각 보호, 내진의 효과를 얻는다. 받는 데미지가 감소한다.",不動衣裝‧改,不動衣裝,消除受到傷害時的反應， 可獲得風壓無效、聽覺保護、 以及耐震效果， 並減少所受傷害。,عباءة ثابتة+,عباءة ثابتة,تقضي على ردود الأفعال الناتجة عن الضرر وتمنع تأثيرات الرياح وتحمي سمعك وتمنحك مقاومة الارتجاج. كما سيقل ضرر الهجمات التي تتلقاها.
Challenger Mantle+,Challenger Mantle,Prompts monsters to target you more often and makes them easier to lure. The effect expires if you are attacked.,挑発の装衣・改,挑発の装衣,モンスターに狙われやすくなり、 モンスターを望む場所に誘い 出せる。攻撃を当て続けたり、 受けると効果が終了する。,Cape de provocation +,Cape de provocation,Incite les monstres à vous attaquer plus souvent et les rend plus faciles à attirer. L'effet s'arrête si vous êtes attaqué.,Mantello sfida+,Mantello sfida,Induce i mostri ad attaccarti più di frequente e rende più semplice attirarli. L'effetto svanisce se vieni attaccato.,Herausforderer-Mantel+,Herausforderer-Mantel,"Lenkt die Aufmerksamkeit von Monstern auf dich, wodurch du sie leichter anlocken kannst. Der Effekt endet, wenn du angegriffen wirst.",Manto de desafíos+,Manto de desafíos,Los monstruos se sentirán más atraídos por ti y te atacarán más. El efecto se agota si recibes un ataque.,Manto do Desafiante+,Manto do Desafiante,Faz monstros atacarem com mais frequência e os atrai com mais facilidade. O efeito acaba ao receber um ataque.,Opończa prowokatora+,Opończa prowokatora,"Zmusza potwory do częstszego brania cię na cel i ułatwia ich wabienie. Efekt ustaje, kiedy potwór cię atakuje.",Покров вызова+,Покров вызова,"Заставляет чудовищ чаще вас атаковать, благодаря чему их становится проще выманить. Действие прекращается, когда вас атакуют.",도발 복장+,도발 복장,"몬스터에게 노려지기 쉬워지고, 몬스터를 원하는 장소로 불러낸다. 공격을 계속 맞히거나, 받으면 효과가 종료된다.",挑釁衣裝‧改,挑釁衣裝,容易成為魔物的目標， 可將魔物誘導 至期望的地方。連續攻擊或 受到攻擊即失效。,عباءة المتحدّي+,عباءة المتحدّي,يدفع الوحوش إلى استهدافك بشكل متزايد ويسهل من استدراجهم. ينتهي التأثير إذا هوجمتَ.
Vitality Mantle+,Vitality Mantle,"Negates a fixed amount of damage, after which the effect expires.",体力の装衣・改,体力の装衣,一定量のダメージを吸収する。 吸収量の限界を超えると、効果が 終了する。,Cape du gardien +,Cape du gardien,Annule une quantité définie de dégâts. L'effet s'arrête si les dégâts subis dépassent cette limite.,Mantello vitalità+,Mantello vitalità,Assorbe una parte dei danni. L'effetto svanisce subendo una determinata quantità di danni.,Lebenskraft-Mantel+,Lebenskraft-Mantel,Negiert eine bestimmte Schadensmenge – danach endet der Effekt.,Manto de vitalidad+,Manto de vitalidad,"Anula una cantidad fija de daño, tras la cual el efecto se agotará.",Manto da Vitalidade+,Manto da Vitalidade,"Anula uma quantia fixa de dano. Depois disso, o efeito acaba.",Opończa żywotności+,Opończa żywotności,"Anuluje stałą ilość obrażeń, po czym efekt ustaje.",Покров живучести+,Покров живучести,"Спасает от определенного количества очков урона, а затем исчезает.",체력 복장+,체력 복장,"일정량의 데미지를 흡수한다. 흡수량의 한계를 넘으면, 효과가 종료된다.",體力衣裝‧改,體力衣裝,吸收一定量的傷害。 一旦超過吸收量上限時 即失效。,عباءة الحيوية+,عباءة الحيوية,يبطل كمية محددة من الضرر. ينتهي بعدها التأثير.
Fireproof Mantle+,Fireproof Mantle,"Reduces fire damage, nullifies fireblight and blastblight, and prevents damage from hot environments.",耐熱の装衣・改,耐熱の装衣,火属性のダメージを軽減する。 また、火属性やられ、爆破やられ、 熱い地形のダメージを無効化する。,Cape ignifuge +,Cape ignifuge,"Réduit les dégâts de feu et annule les fléaux-feu, fléaux-explosion et les dégâts des environnements chauds.",Mantello ignifugo+,Mantello ignifugo,"Riduce i danni da fuoco, annulla i malus da fuoco e scoppio, previene i danni da clima torrido.",Feuerschutz-Mantel+,Feuerschutz-Mantel,"Reduziert Feuerelement-Schaden und negiert Feuerpest, Explosionspest, sowie Schaden von heißen Umgebungen.",Manto ignífugo+,Manto ignífugo,"Reduce el daño por fuego, anula las plagas de fuego y nitro y evita daños ambientales por entornos muy calientes.",Manto Antifogo+,Manto Antifogo,"Reduz dano por fogo, anula flagelo de fogo e explosão, e impede dano causado por ambientes quentes.",Opończa ognioodporna+,Opończa ognioodporna,"Zmniejsza obrażenia od ognia, leczy plagę ognia i wybuchoplagę oraz zapobiega obrażeniom od gorącego otoczenia.",Огнеупорный покров+,Огнеупорный покров,"Снижает урон от огня, нейтрализует огненную и взрывную порчу, нейтрализует урон от высоких температур окружающей среды.",내열 복장+,내열 복장,"불속성의 데미지를 경감시킨다. 또한, 불속성 피해나 폭파 피해, 뜨거운 지형의 데미지를 무효화한다.",耐熱衣裝‧改,耐熱衣裝,減輕火屬性的傷害。此外， 使火屬性異常狀態、爆破異常狀態、 以及炎熱地形造成的傷害無效。,عباءة مقاومة للنيران+,عباءة مقاومة للنيران,تقلل من ضرر النيران، وتُبطل وباء النار ووباء الانفجار وتمنع الضرر الناتج عن البيئات الحارة.
Waterproof Mantle+,Waterproof Mantle,"Reduces water damage, nullifies waterblight, reduces mobility restrictions in muck and negates them entirely for deep water.",耐水の装衣・改,耐水の装衣,水属性のダメージを軽減する。 また、水属性やられと深い水場での 行動制限を無効化し、 泥はまりの行動制限も軽減する。,Cape anti-eau +,Cape anti-eau,"Réduit les dégâts d'eau, annule les fléaux-eau, et rend plus mobile en eau profonde et dans la boue.",Mantello impermeabile+,Mantello impermeabile,"Riduce i danni da acqua, annulla il malus da acqua e agevola i movimenti in acque profonde e fango.",Wasserschutz-Mantel+,Wasserschutz-Mantel,Reduziert Wasserelement-Schaden. Negiert Wasserpest und Bewegungseinschränkungen in tiefem Wasser sowie Schlamm.,Manto impermeable+,Manto impermeable,"Reduce el daño por agua, anula la plaga de agua, reduce toda restricción al movimiento en lodo y las anula en agua profunda.",Manto Antiágua+,Manto Antiágua,"Reduz dano de água, anula flagelo de água, diminui restrições de mobilidade em muco e as anula completamente em águas profundas.",Opończa wodoodporna+,Opończa wodoodporna,"Zmniejsza obrażenia od wody, ulecza plagę wody, zmniejsza ograniczenia ruchu w błocie i całkowicie je niweluje w głębokiej wodzie.",Водостойкий покров+,Водостойкий покров,"Снижает урон от воды, нейтрализует водяную порчу, снижает замедление в грязи и убирает его в глубокой воде.",내수 복장+,내수 복장,물속성 데미지를 경감시킨다. 물속성 피해나 깊은 물가에서의 행동 제한을 무효화하고 진흙에서의 행동 제한도 경감한다.,耐水衣裝‧改,耐水衣裝,減輕水屬性的傷害。此外， 使水屬性異常狀態以及 深水區行動限制無效， 並減輕泥濘狀態的行動限制。,عباءة مقاومة للماء+,عباءة مقاومة للماء,تقلل من ضرر الماء وتُبطل وباء الماء وتسّهل الحركة في الوحل وتبطل مفعولها جميعًا في المياه العميقة.
Iceproof Mantle+,Iceproof Mantle,Reduces ice damage and nullifies iceblight.,耐寒の装衣・改,耐寒の装衣,氷属性のダメージを軽減する。 氷属性やられを無効化する。,Cape anti-glace +,Cape anti-glace,Réduit les dégâts de glace et annule les fléaux-glace.,Mantello antighiaccio+,Mantello antighiaccio,Riduce i danni da ghiaccio e annulla il malus da ghiaccio.,Eisschutz-Mantel+,Eisschutz-Mantel,Reduziert Eiselement-Schaden und negiert Eispest.,Manto anticongelante+,Manto anticongelante,Reduce el daño por hielo y anula la plaga de hielo.,Manto Antigelo+,Manto Antigelo,Reduz dano por gelo e anula flagelo de gelo.,Opończa lodoodporna+,Opończa lodoodporna,Zmniejsza obrażenia od lodu i ulecza plagę lodu.,Ледостойкий покров+,Ледостойкий покров,Снижает урон от льда и нейтрализует ледяную порчу.,내한 복장+,내한 복장,얼음속성 데미지를 경감한다. 얼음속성 피해를 무효화한다.,耐寒衣裝‧改,耐寒衣裝,減輕冰屬性的傷害。 使冰屬性異常狀態無效。,عباءة مقاومة للثلج+,عباءة مقاومة للثلج,تقلل من ضرر الثلج وتبطل مفعول وباء الثلج.
Thunderproof Mantle+,Thunderproof Mantle,Reduces thunder damage and nullifies thunderblight and paralysis.,耐雷の装衣・改,耐雷の装衣,雷属性のダメージを軽減する。 雷属性やられと麻痺を無効化する。,Cape paratonnerre +,Cape paratonnerre,Réduit les dégâts de foudre et annule les fléaux-foudre et la paralysie.,Mantello isolante+,Mantello isolante,Riduce i danni da tuono e annulla i malus da tuono e paralisi.,Donnerschutz-Mantel+,Donnerschutz-Mantel,Reduziert Donnerelement-Schaden und negiert Donnerpest sowie Lähmung.,Manto repelerrayos+,Manto repelerrayos,Reduce el daño por rayo y anula la plaga de rayo y la parálisis.,Manto Antirraio+,Manto Antirraio,Reduz dano por raio e anula flagelo de raio e paralisia.,Opończa piorunoodporna+,Opończa piorunoodporna,Zmniejsza obrażenia od piorunów oraz ulecza plagę pioruna i paraliż.,Грозостойкий покров+,Грозостойкий покров,Снижает урон от грозы и нейтрализует грозовую порчу и паралич.,내뢰 복장+,내뢰 복장,번개속성 데미지를 경감한다. 번개속성 피해와 마비를 무효화한다.,耐雷衣裝‧改,耐雷衣裝,減輕雷屬性的傷害。 使雷屬性異常狀態與麻痺無效。,عباءة مقاومة للرعد+,عباءة مقاومة للرعد,تقلل من ضرر الرعد وتبطل مفعول وباء الرعد والشلل.
