name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Culldrone I,クルドローンⅠ,Torturoptède,Culldrone I,Keulendrohn I,Culldrone I,Abatelha I,Trutniobójca I,Трутень-убийца 1,쿨드론Ⅰ,切斷蟲Ⅰ,كولدرون I
Culldrone II,クルドローンⅡ,Torturoptède II,Culldrone II,Keulendrohn II,Culldrone II,Abatelha II,Trutniobójca II,Трутень-убийца 2,쿨드론Ⅱ,切斷蟲Ⅱ,كولدرون II
Culldrone III,クルドローンⅢ,Torturoptède III,Culldrone III,Keulendrohn III,Culldrone III,Abatelha III,Trutniobójca III,Трутень-убийца 3,쿨드론Ⅲ,切斷蟲Ⅲ,كولدرون III
Alucanid I,アルマスタッグⅠ,Alucanide,Alucanid I,Zangenkäfer I,Lucanidrone I,Alucnídeo I,Alucanid I,Алуканид 1,아르마스태그Ⅰ,威力型切斷蟲Ⅰ,ألوكانيد I
Alucanid II,アルマスタッグⅡ,Alucanide II,Alucanid II,Zangenkäfer II,Lucanidrone II,Alucnídeo II,Alucanid II,Алуканид 2,아르마스태그Ⅱ,威力型切斷蟲Ⅱ,ألوكانيد II
Alucanid III,アルマスタッグⅢ,Alucanide III,Alucanid III,Zangenkäfer III,Lucanidrone III,Alucnídeo III,Alucanid III,Алуканид 3,아르마스태그Ⅲ,威力型切斷蟲Ⅲ,ألوكانيد III
Monarch Alucanid I,モナークブルスタッグⅠ,Alucanide royal,Alucanid reale I,Königszangenkäfer I,Lucanidrone Rex I,Alucnídeo Monarca I,Alucanid królewski I,Алуканид-монарх 1,모나크블스태그Ⅰ,威力特化型切斷蟲Ⅰ,مونارك ألوكانيد I
Monarch Alucanid II,モナークブルスタッグⅡ,Alucanide royal II,Alucanid reale II,Königszangenkäfer II,Lucanidrone Rex II,Alucnídeo Monarca II,Alucanid królewski II,Алуканид-монарх 2,모나크블스태그Ⅱ,威力特化型切斷蟲Ⅱ,مونارك ألوكانيد II
Monarch Alucanid III,モナークブルスタッグⅢ,Alucanide royal III,Alucanid reale III,Königszangenkäfer III,Lucanidrone Rex III,Alucnídeo Monarca III,Alucanid królewski III,Алуканид-монарх 3,모나크블스태그Ⅲ,威力特化型切斷蟲Ⅲ,مونارك ألوكانيد III
Empresswing I,レジナヴォランテⅠ,Impérialoptère,Empresswing I,Kaiserinnenflügel I,Emperatriz I,Imperatrasa I,Cesarzyk I,Крыло императрицы 1,레지나볼란테Ⅰ,威力平衡型切斷蟲Ⅰ,إمبريسوينغ I
