base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Culldrone II,Iron Ore,3,,,,,,
Culldrone III,Earth Crystal,2,Monster Bone M,1,,,,
Alucanid I,Monster Bone L,1,Iron Ore,3,,,,
Alucanid II,Dragonite Ore,3,,,,,,
Alucanid III,Monster Bone+,2,Anjanath Fang,1,,,,
Monarch Alucanid I,Monster Keenbone,2,Carbalite Ore,3,Piercing Claw,2,,
Monarch Alucanid II,Monster Hardbone,2,Fucium Ore,2,Toxin Sac,2,,
Monarch Alucanid III,Elder Dragon Bone,2,Monster Hardbone,3,Novacrystal,1,,
Empresswing I,Monster Keenbone,2,Carbalite Ore,3,Monster Broth,2,,
Empresswing II,Monster Hardbone,2,Fucium Ore,2,Inferno Sac,2,,
Empresswing III,Elder Dragon Bone,2,Monster Hardbone,3,Firecell Stone,1,,
Rigiprayne I,Monster Bone L,1,Earth Crystal,2,,,,
Rigiprayne II,Dragonite Ore,2,Coral Crystal (LR),2,,,,
Rigiprayne III,Monster Bone+,2,Tzitzi-Ya-Ku Claw,1,,,,
Cancadaman I,Monster Keenbone,2,Carbalite Ore,3,Hornetaur Carapace,2,,
Cancadaman II,Monster Hardbone,2,Fucium Ore,2,Omniplegia Sac,2,,
Cancadaman III,Elder Dragon Bone,2,Monster Hardbone,3,Dragonbone Relic,1,,
Fiddlebrix I,Monster Keenbone,2,Carbalite Ore,3,Shamos Hide+,2,,
Fiddlebrix II,Monster Hardbone,2,Fucium Ore,2,Inferno Sac,2,,
Fiddlebrix III,Elder Dragon Bone,2,Monster Hardbone,3,Firecell Stone,1,,
Windchopper I,Monster Bone L,1,Machalite Ore,1,,,,
Windchopper II,Dragonite Ore,2,Machalite Ore,3,,,,
Windchopper III,Monster Bone+,2,Rathian Webbing,1,,,,
Grancathar I,Monster Keenbone,2,Carbalite Ore,3,Hornetaur Innerwing,2,,
Grancathar II,Monster Hardbone,2,Fucium Ore,2,Lightcrystal,1,,
Grancathar III,Elder Dragon Bone,2,Monster Hardbone,3,Novacrystal,1,,
Pseudocath I,Monster Keenbone,2,Carbalite Ore,3,Monster Broth,2,,
Pseudocath II,Monster Hardbone,2,Fucium Ore,2,Inferno Sac,2,,
Pseudocath III,Elder Dragon Bone,2,Monster Hardbone,3,Firecell Stone,1,,
Mauldrone II,Monster Bone S,3,,,,,,
Mauldrone III,Boulder Bone,2,Monster Bone M,1,,,,
Foebeetle I,Monster Bone L,1,Boulder Bone,1,,,,
Foebeetle II,Sturdy Bone,3,,,,,,
Foebeetle III,Monster Bone+,2,Wyvern Bonemass,1,,,,
Carnage Beetle I,Monster Keenbone,2,Quality Bone,3,Dragonvein Crystal,2,,
Carnage Beetle II,Monster Hardbone,2,Brutal Bone,1,Toxin Sac,2,,
Carnage Beetle III,Elder Dragon Blood,2,Monster Hardbone,3,Novacrystal,1,,
Bonnetfille I,Monster Keenbone,2,Quality Bone,3,Jagras Hide+,2,,
Bonnetfille II,Monster Hardbone,2,Brutal Bone,1,Inferno Sac,2,,
Bonnetfille III,Elder Dragon Blood,2,Monster Hardbone,3,Firecell Stone,1,,
Ladytarge I,Monster Bone L,1,Monster Bone S,3,,,,
Ladytarge II,Sturdy Bone,2,Coral Bone,1,,,,
Ladytarge III,Monster Bone+,2,Great Girros Fang,1,,,,
Ladypavise I,Monster Keenbone,2,Quality Bone,3,Girros Hide+,2,,
Ladypavise II,Monster Hardbone,2,Brutal Bone,1,Omniplegia Sac,2,,
Ladypavise III,Elder Dragon Blood,2,Monster Hardbone,3,Dragonbone Relic,1,,
Arkmaiden I,Monster Keenbone,2,Quality Bone,3,Vespoid Carapace,2,,
Arkmaiden II,Monster Hardbone,2,Brutal Bone,1,Inferno Sac,2,,
Arkmaiden III,Elder Dragon Blood,2,Monster Hardbone,3,Firecell Stone,1,,
Gullshad I,Monster Bone L,1,Ancient Bone,2,,,,
Gullshad II,Sturdy Bone,2,Warped Bone,1,,,,
Gullshad III,Monster Bone+,2,Paolumu Shell,1,,,,
Bullshroud I,Monster Keenbone,2,Quality Bone,3,Wingdrake Hide+,2,,
Bullshroud II,Monster Hardbone,2,Brutal Bone,1,Lightcrystal,1,,
Bullshroud III,Elder Dragon Blood,2,Monster Hardbone,3,Novacrystal,1,,
Whispervesp I,Monster Keenbone,2,Quality Bone,3,Vespoid Innerwing,2,,
Whispervesp II,Monster Hardbone,2,Brutal Bone,1,Inferno Sac,2,,
Whispervesp III,Elder Dragon Blood,2,Monster Hardbone,3,Firecell Stone,1,,
True Dragon Soul,Aetheryte Shard,5,Behemoth Shearclaw,1,Dragonbone Relic,2,Novacrystal,2
Nexus Dragon Soul,Purecrystal,1,Dragonbone Artifact,1,Behemoth Great Horn,1,Unity Symbol,1
Vezirstag I Velox,Monster Toughbone,2,Eltalite Ore,3,Deadly Poison Sac,2,,
Vezirstag II Velox,Monster Slogbone,2,Meldspar Ore,2,Rathian Shard,1,,
Vezirstag III Velox,Large Elder Dragon Bone,2,Monster Solidbone,2,Azure Rathalos Shard,1,,
Vezirstag I Forz,Monster Toughbone,2,Eltalite Ore,3,Conflagrant Sac,2,,
Vezirstag II Forz,Monster Slogbone,2,Meldspar Ore,2,Anjanath Shard,1,,
Vezirstag III Forz,Large Elder Dragon Bone,2,Monster Solidbone,2,Black Diablos Cortex,1,,
Bilbobrix I Velox,Monster Toughbone,2,Eltalite Ore,3,Ultraplegia Sac,2,,
Bilbobrix II Velox,Monster Slogbone,2,Meldspar Ore,2,Odogaron Shard,1,,
Bilbobrix III Velox,Large Elder Dragon Bone,2,Monster Solidbone,2,Dragonbone Artifact,1,,
Bilbobrix I Forz,Monster Toughbone,2,Eltalite Ore,3,Conflagrant Sac,2,,
Bilbobrix II Forz,Monster Slogbone,2,Meldspar Ore,2,Radobaan Shard,1,,
Bilbobrix III Forz,Large Elder Dragon Bone,2,Monster Solidbone,2,Hellfire Shard,1,,
Foliacath I Medis,Monster Toughbone,2,Eltalite Ore,3,Cryo Sac,1,,
Foliacath II Medis,Monster Slogbone,2,Meldspar Ore,2,Purecrystal,1,,
Foliacath III Medis,Large Elder Dragon Bone,2,Monster Solidbone,2,Kirin Finehide,1,,
Foliacath I Forz,Monster Toughbone,2,Eltalite Ore,3,Conflagrant Sac,2,,
Foliacath II Forz,Monster Slogbone,2,Meldspar Ore,2,Paolumu Thickfur,1,,
Foliacath III Forz,Large Elder Dragon Bone,2,Monster Solidbone,2,Daora Shard,1,,
Elscarad I,Gold Rathian Shard,1,Forest Crystal,1,Wasteland Crystal,1,,
Elscarad II,Coral Crystal (LR),1,Effluvial Crystal,1,Spiritvein Solidbone,2,,
