key,deviation,special,normal1_clip,normal1_rapid,normal1_recoil,normal1_reload,normal2_clip,normal2_rapid,normal2_recoil,normal2_reload,normal3_clip,normal3_rapid,normal3_recoil,normal3_reload,pierce1_clip,pierce1_rapid,pierce1_recoil,pierce1_reload,pierce2_clip,pierce2_rapid,pierce2_recoil,pierce2_reload,pierce3_clip,pierce3_rapid,pierce3_recoil,pierce3_reload,spread1_clip,spread1_rapid,spread1_recoil,spread1_reload,spread2_clip,spread2_rapid,spread2_recoil,spread2_reload,spread3_clip,spread3_rapid,spread3_recoil,spread3_reload,sticky1_clip,sticky1_recoil,sticky1_reload,sticky2_clip,sticky2_recoil,sticky2_reload,sticky3_clip,sticky3_recoil,sticky3_reload,cluster1_clip,cluster1_recoil,cluster1_reload,cluster2_clip,cluster2_recoil,cluster2_reload,cluster3_clip,cluster3_recoil,cluster3_reload,recover1_clip,recover1_recoil,recover1_reload,recover2_clip,recover2_recoil,recover2_reload,poison1_clip,poison1_recoil,poison1_reload,poison2_clip,poison2_recoil,poison2_reload,paralysis1_clip,paralysis1_recoil,paralysis1_reload,paralysis2_clip,paralysis2_recoil,paralysis2_reload,sleep1_clip,sleep1_recoil,sleep1_reload,sleep2_clip,sleep2_recoil,sleep2_reload,exhaust1_clip,exhaust1_rapid,exhaust1_recoil,exhaust1_reload,exhaust2_clip,exhaust2_rapid,exhaust2_recoil,exhaust2_reload,flaming_clip,flaming_rapid,flaming_recoil,flaming_reload,water_clip,water_rapid,water_recoil,water_reload,freeze_clip,freeze_rapid,freeze_recoil,freeze_reload,thunder_clip,thunder_rapid,thunder_recoil,thunder_reload,dragon_clip,dragon_recoil,dragon_reload,slicing_clip,slicing_recoil,slicing_reload,wyvern_clip,wyvern_reload,demon_clip,demon_recoil,demon_reload,armor_clip,armor_recoil,armor_reload,tranq_clip,tranq_recoil,tranq_reload
LBG Ore,Low,Wyvernblast,6,,2,fast,4,,2,normal,3,,3,normal,5,,2,normal,3,,3,slow,2,,4,slow,4,,3,normal,0,,,,0,,,,2,4,slow,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5,2,normal,1,-1,slow,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,3,slow,0,,0,,,0,,,2,3,normal
LBG Nergigante,Average,Wyvernblast,4,,2,normal,3,,2,normal,2,,4,normal,5,,3,normal,0,,,,0,,,,3,,3,normal,2,,4,normal,2,,4,slow,2,4,slow,0,,,0,,,0,,,0,,,0,,,3,3,slow,3,4,slow,0,,,0,,,0,,,3,4,slow,0,,,3,2,slow,0,,,,0,,,,0,,,,4,,2,normal,0,,,,0,,,,1,4,slow,1,3,slow,0,,1,2,slow,1,3,slow,2,3,normal
LBG Paolumu,Low,Wyvernblast,6,,2,fast,4,,2,normal,3,,3,normal,5,,2,normal,3,,3,slow,0,,,,4,,3,normal,3,,4,normal,0,,,,2,4,slow,1,4,slow,0,,,0,,,0,,,0,,,3,3,slow,2,4,slow,5,2,normal,1,-1,slow,1,-1,slow,0,,,5,2,normal,0,,,0,,,,0,,,,0,,,,4,,2,normal,4,,2,normal,0,,,,0,,,1,3,slow,0,,0,,,0,,,2,3,normal
LBG Bazel,Average,Wyvernblast,1,,-1,fast,1,,-1,fast,3,,3,normal,1,,-1,fast,3,,4,normal,2,,4,normal,0,,,,0,,,,0,,,,2,4,normal,2,4,slow,1,4,slow,0,,,0,,,0,,,0,,,0,,,0,,,4,3,normal,0,,,3,4,slow,0,,,0,,,5,,4,fast,4,,4,normal,4,,3,normal,0,,,,0,,,,4,,3,normal,1,4,slow,0,,,0,,1,-1,normal,0,,,2,3,normal
LBG Great Jagras,Average,Wyvernblast,1,,-1,fast,1,,-1,fast,3,,4,normal,1,,-1,fast,3,,4,normal,0,,,,1,,-1,fast,3,,4,fast,0,,,,2,4,normal,0,,,0,,,0,,,0,,,0,,,3,4,normal,2,4,slow,1,-1,fast,0,,,5,3,normal,0,,,1,-1,fast,0,,,5,,4,fast,0,,,,4,,3,normal,4,,3,normal,0,,,,0,,,,0,,,1,4,slow,0,,0,,,2,3,slow,2,3,normal
LBG Rathalos,Low,Wyvernblast,4,,2,normal,4,,3,normal,2,,4,slow,3,,2,normal,2,,3,slow,2,,4,slow,3,,2,normal,0,,,,0,,,,2,4,slow,0,,,0,,,0,,,0,,,0,,,3,2,normal,0,,,6,1,fast,5,2,fast,0,,,0,,,0,,,0,,,0,,,,0,,,,3,,3,normal,0,,,,0,,,,0,,,,0,,,2,3,slow,0,,2,2,normal,0,,,2,3,normal
LBG Thunder,Low,Wyvernblast,3,,2,normal,2,,3,slow,0,,,,4,,2,normal,4,,3,normal,0,,,,3,,2,normal,0,,,,0,,,,2,4,slow,1,4,slow,0,,,0,,,0,,,0,,,3,2,normal,2,3,slow,0,,,5,2,normal,3,2,normal,3,3,normal,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,3,,3,normal,0,,,2,3,slow,0,,0,,,0,,,2,3,normal
LBG Ice,Low,Wyvernblast,1,,-1,fast,1,,-1,fast,0,,,,1,,-1,fast,3,,4,normal,0,,,,1,,-1,fast,3,,4,fast,2,,4,normal,2,4,normal,0,,,0,,,0,,,0,,,0,,,3,4,normal,2,4,slow,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,4,,3,normal,0,,,,0,,,1,4,slow,0,,1,-1,normal,2,3,slow,2,3,normal
LBG Bone,Average,Wyvernblast,6,,2,fast,4,,2,normal,3,,3,normal,5,,2,normal,0,,,,0,,,,4,,3,normal,3,,4,normal,2,,4,normal,2,4,slow,0,,,0,,,0,,,0,,,0,,,3,3,slow,2,4,slow,0,,,0,,,1,-1,slow,4,4,slow,0,,,0,,,0,,,,0,,,,4,,2,normal,0,,,,0,,,,4,,2,normal,1,4,slow,0,,,0,,2,2,slow,2,3,slow,2,3,normal
LBG Vaal Hazak,Low,Wyvernblast,3,,2,normal,2,,3,slow,1,,4,slow,4,,2,normal,0,,,,2,,4,slow,3,,2,normal,0,,,,2,,4,slow,2,4,slow,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,2,fast,0,,,3,2,normal,0,,,5,2,fast,0,,,5,,2,normal,5,,3,slow,0,,,,0,,,,0,,,,0,,,,3,2,normal,2,3,slow,0,,2,2,normal,0,,,2,3,normal
LBG Anjanath,High,Wyvernblast,4,,2,normal,3,,2,normal,2,,4,normal,5,,3,normal,2,,3,slow,2,,4,slow,3,,3,normal,0,,,,0,,,,2,4,slow,1,4,slow,1,4,very slow,0,,,0,,,0,,,0,,,0,,,5,2,normal,3,2,slow,0,,,0,,,0,,,0,,,0,,,,0,,,,4,,2,normal,0,,,,0,,,,0,,,,0,,,0,,,0,,1,2,slow,0,,,2,3,normal
LBG Jyuratodus,Low,Wyvernblast,3,,2,normal,2,,3,slow,0,,,,3,,2,normal,2,,3,slow,0,,,,4,,2,normal,4,,3,normal,2,,4,slow,2,4,slow,1,4,slow,1,4,slow,0,,,0,,,0,,,3,2,normal,2,3,slow,6,2,fast,5,2,normal,3,2,normal,0,,,5,2,fast,4,2,normal,0,,,,0,,,,0,,,,3,,3,normal,0,,,,0,,,,0,,,0,,,0,,2,2,normal,0,,,2,3,normal
