base_name_en,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Buster Sword I,Create,Iron Ore,1,,,,,,
Buster Sword II,Upgrade,Iron Ore,2,,,,,,
Buster Sword III,Upgrade,Earth Crystal,2,Iron Ore,5,Machalite Ore,2,,
Buster Blade I,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Buster Blade II,Upgrade,Coral Crystal,2,Dragonite Ore,5,Machalite Ore,10,Monster Bone+,2
Buster Blade III,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Chrome Razor I,Upgrade,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3,Fucium Ore,8
Chrome Razor II,Upgrade,Carbalite Ore,20,Elder Dragon Blood,2,Firecell Stone,1,Fucium Ore,13
Nergal Judicator,Upgrade,Nergigante Carapace,2,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Talon,3
Purgation's Atrocity,Upgrade,Nergigante Gem,1,Nergigante Horn+,5,Nergigante Talon,5,Xeno'jiiva Horn,2
Thunder Blade I,Upgrade,Dragonite Ore,5,Electro Sac,1,Tobi-Kadachi Claw,2,Tobi-Kadachi Electrode,1
Thunder Blade II,Upgrade,Coral Crystal,3,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2
Lightning Punisher I,Upgrade,Carbalite Ore,5,Tobi-Kadachi Pelt+,3,Tobi-Kadachi Scale+,4,Vespoid Innerwing,3
Lightning Punisher II,Upgrade,Fucium Ore,5,Thunder Sac,3,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Membrane,4
Lightning Punisher III,Upgrade,Elder Dragon Blood,3,Tobi-Kadachi Claw+,6,Tobi-Kadachi Electrode+,4,Wyvern Gem,1
Freeze Blade I,Upgrade,Coral Crystal,3,Frost Sac,2,Legiana Claw,3,Legiana Scale,4
Freeze Blade II,Upgrade,Carbalite Ore,5,Legiana Tail Webbing,2,Legiana Webbing,3,Shamos Scale,5
