notes,duration,extension,effect1_en,effect2_en,effect1_ja,effect2_ja,effect1_fr,effect2_fr,effect1_it,effect2_it,effect1_de,effect2_de,effect1_es,effect2_es,effect1_pt,effect2_pt,effect1_pl,effect2_pl,effect1_ru,effect2_ru,effect1_ko,effect2_ko,effect1_zh,effect2_zh,effect1_ar,effect2_ar
WW,180(240),+90(+120),Movement Speed Up,Attack Deflection Prevention,,,,,,,,,,,,,,,,,,,,,,
PP,180(240),+90(+120),Movement Speed Up,Attack Deflection Prevention,,,,,,,,,,,,,,,,,,,,,,
WRR,120(150),+60(+90),Attack Up (S),Attack Up (L),,,,,,,,,,,,,,,,,,,,,,
PRY,120(150),+60(+90),Attack Up (S),Attack Up (L),,,,,,,,,,,,,,,,,,,,,,
YPR,120(150),+60(+90),Attack Up (S),Attack Up (L),,,,,,,,,,,,,,,,,,,,,,
RYP,120(150),+60(+90),Attack Up (S),Attack Up (L),,,,,,,,,,,,,,,,,,,,,,
PRBP,90(120),+30(+60),Attack Up (L),Attack Up (XL),,,,,,,,,,,,,,,,,,,,,,
PRCP,90(120),+30(+60),Attack Up (L),Attack Up (XL),,,,,,,,,,,,,,,,,,,,,,
PRGP,90(120),+30(+60),Attack Up (L),Attack Up (XL),,,,,,,,,,,,,,,,,,,,,,
RBW,180(240),+120(+180),Health Boost (S),Health Boost Extended,,,,,,,,,,,,,,,,,,,,,,
RBRP,180(240),+120(+180),Health Boost (L),Health Boost Extended,,,,,,,,,,,,,,,,,,,,,,
WCB,90(120),+30(+60),Stamina Use Reduced (S),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
WYB,90(120),+30(+60),Stamina Use Reduced (S),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
WGB,90(120),+30(+60),Stamina Use Reduced (S),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
PGBG,120(150),+60(+90),Stamina Use Reduced (L),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
PCBC,120(150),+60(+90),Stamina Use Reduced (L),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
PYB,120(150),+60(+90),Stamina Use Reduced (L),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
POBO,120(150),+60(+90),Stamina Use Reduced (L),Stamina Use Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
BBC,180(240),+90(+120),Wind Pressure Negated,Wind Pressure Negation Extended,,,,,,,,,,,,,,,,,,,,,,
BBR,180(240),+90(+120),Wind Pressure Negated,Wind Pressure Negation Extended,,,,,,,,,,,,,,,,,,,,,,
BBG,180(240),+90(+120),Wind Pressure Negated,Wind Pressure Negation Extended,,,,,,,,,,,,,,,,,,,,,,
BBYP,180(240),+90(+120),All Wind Pressure Negated,All Wind Pressure Negation Extended,,,,,,,,,,,,,,,,,,,,,,
BBO,180(240),+90(+120),All Wind Pressure Negated,All Wind Pressure Negation Extended,,,,,,,,,,,,,,,,,,,,,,
WGW,N/A,N/A,Health Recovery (S),N/A,,,,,,,,,,,,,,,,,,,,,,
PGP,N/A,N/A,Health Recovery (S),N/A,,,,,,,,,,,,,,,,,,,,,,
GWCG,N/A,N/A,Health Recovery (M),N/A,,,,,,,,,,,,,,,,,,,,,,
GGPC,N/A,N/A,Health Recovery (L),N/A,,,,,,,,,,,,,,,,,,,,,,
GBWB,N/A,N/A,Health Recovery (S) + Antidote,N/A,,,,,,,,,,,,,,,,,,,,,,
GBPB,N/A,N/A,Health Recovery (M) + Antidote,N/A,,,,,,,,,,,,,,,,,,,,,,
GOPO,120(150),+60(+90),Affinity Up (S) / Health Recovery (S),Affinity Up (L) / Health Recovery (S),,,,,,,,,,,,,,,,,,,,,,
GGY,120(180),+120(+150),Recovery Speed (S),Recovery Speed Extended,,,,,,,,,,,,,,,,,,,,,,
GGRP,120(180),+120(+150),Recovery Speed (L),Recovery Speed Extended,,,,,,,,,,,,,,,,,,,,,,
WBB,120(150),+60(+90),Defense Up (S),Defense Up (L),,,,,,,,,,,,,,,,,,,,,,
PBBP,90(120),+60(+90),Defense Up (L),Defense Up (XL),,,,,,,,,,,,,,,,,,,,,,
WBC,30(60),+30(+60),Tool Use Drain Reduced (S),Tool Use Drain Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
PBC,60(90),+60(+90),Tool Use Drain Reduced (L),Tool Use Drain Reduction Extended,,,,,,,,,,,,,,,,,,,,,,
CCC,180(240),+180(+240),Scoutfly Power Up,Scoutfly Power Up Extended,,,,,,,,,,,,,,,,,,,,,,
CRC,180(240),+180(+240),Muck Res,Muck Res Extended,,,,,,,,,,,,,,,,,,,,,,
CPB,180(210),+120(+180),Stun Negated,Stun Negation Extended,,,,,,,,,,,,,,,,,,,,,,
CYP,180(210),+120(+180),Paralysis Negated,Paralysis Negation Extended,,,,,,,,,,,,,,,,,,,,,,
CYW,180(210),+120(+180),Paralysis Negated,Paralysis Negation Extended,,,,,,,,,,,,,,,,,,,,,,
CCY,180(210),+180(+210),Tremors Negated,Tremors Negation Extended,,,,,,,,,,,,,,,,,,,,,,
RRC,120(180),+120(+180),Envir. Damage Negated,Envir. Damage Negation Extended,,,,,,,,,,,,,,,,,,,,,,
CPOO,120(150),+60(+90),All Ailments Negated,All Ailments Negated Extended,,,,,,,,,,,,,,,,,,,,,,
YRW,120(180),+120(+180),Fire Resistance Boost (S),Fire Resistance Boost (L),,,,,,,,,,,,,,,,,,,,,,
YCW,120(180),+120(+180),Water Resistance Boost (S),Water Resistance Boost (L),,,,,,,,,,,,,,,,,,,,,,
YGW,120(180),+120(+180),Thunder Resistance Boost (S),Thunder Resistance Boost (L),,,,,,,,,,,,,,,,,,,,,,
YBW,120(180),+120(+180),Ice Resistance Boost (S),Ice Resistance Boost (L),,,,,,,,,,,,,,,,,,,,,,
WYC,120(180),+120(+180),Dragon Resistance Boost (S),Dragon Resistance Boost (L),,,,,,,,,,,,,,,,,,,,,,
YRP,120(180),+120(+180),Fire Resistance Boost (L),Fire Resistance Boost (XL),,,,,,,,,,,,,,,,,,,,,,
YCP,120(180),+120(+180),Water Resistance Boost (L),Water Resistance Boost (XL),,,,,,,,,,,,,,,,,,,,,,
YGP,120(180),+120(+180),Thunder Resistance Boost (L),Thunder Resistance Boost (XL),,,,,,,,,,,,,,,,,,,,,,
YBP,120(180),+120(+180),Ice Resistance Boost (L),Ice Resistance Boost (XL),,,,,,,,,,,,,,,,,,,,,,
PYC,120(180),+120(+180),Dragon Resistance Boost (L),Dragon Resistance Boost (XL),,,,,,,,,,,,,,,,,,,,,,
YCYC,120(150),+90(+120),Elemental Attack Boost (S),Elemental Attack Boost (L),,,,,,,,,,,,,,,,,,,,,,
CCRW,180(210),+120(+150),Earplugs (S),Earplugs (S) Extended,,,,,,,,,,,,,,,,,,,,,,
CCGW,180(210),+120(+150),Earplugs (S),Earplugs (S) Extended,,,,,,,,,,,,,,,,,,,,,,
CCRP,180(210),+120(+150),Earplugs (S),Earplugs (S) Extended,,,,,,,,,,,,,,,,,,,,,,
OOGP,180(210),+120(+150),Earplugs (L),Earplugs (L) Extended,,,,,,,,,,,,,,,,,,,,,,
CCGP,180(210),+120(+150),Earplugs (L),Earplugs (L) Extended,,,,,,,,,,,,,,,,,,,,,,
COOP,90(120),+60(+90),Abnormal Status Attack Up (S),Abnormal Status Attack Up (L),,,,,,,,,,,,,,,,,,,,,,
POPC,120(150),+90(+120),Divine Protection,Divine Protection Extended,,,,,,,,,,,,,,,,,,,,,,
OBPB,120(150),+60(+90),Attack and Defense Up (S),Attack and Defense Up (L),,,,,,,,,,,,,,,,,,,,,,
PBOO,120(150),+60(+90),Attack and Defense Up (S),Attack and Defense Up (L),,,,,,,,,,,,,,,,,,,,,,
GYPY,120(150),+90(+120),Divine Protection,Divine Protection Extended,,,,,,,,,,,,,,,,,,,,,,
YYY,N/A,N/A,Sonic Waves,N/A,,,,,,,,,,,,,,,,,,,,,,
