melody_id, effect_1_en, effect_2_en
1,Attack Up (S),Attack Up (L)
2,Health Boost (S),Health Boost Extended
3,Wind Pressure Negated,Wind Pressure Negation Extended
4,Defense Up (S),Defense Up (L)
5,Movement Speed Up,Attack Deflection Prevention
6,Scoutfly Power Up,Scoutfly Power Up Extended
7,Muck Res,Muck Res Extended
8,Envir. Damage Negated,Envir. Damage Negation Extended
9,Earplugs (S),Earplugs (S) Extended
10,Paralysis Negated,Paralysis Negation Extended
11,Tremors Negated,Tremors Negation Extended
12,Water Resistance Boost (S),Water Resistance Boost (L)
13,Dragon Resistance Boost (S),Dragon Resistance Boost (L)
14,Elemental Attack Boost (S),Elemental Attack Boost (L)
15,Sonic Waves,N/A
16,Stamina Use Reduced (S),Stamina Use Reduction Extended
17,Wind Pressure Negated,Wind Pressure Negation Extended
18,Tool Use Drain Reduced (S),Tool Use Drain Reduction Extended
19,Health Recovery (S),N/A
20,Health Recovery (M),N/A
21,Earplugs (S),Earplugs (S) Extended
22,Stamina Use Reduced (S),Stamina Use Reduction Extended
23,Ice Resistance Boost (S),Ice Resistance Boost (L)
24,Stamina Use Reduced (S),Stamina Use Reduction Extended
25,Wind Pressure Negated,Wind Pressure Negation Extended
26,Health Recovery (S) + Antidote,N/A
27,Fire Resistance Boost (S),Fire Resistance Boost (L)
28,Recovery Speed (S),Recovery Speed Extended
29,Thunder Resistance Boost (S),Thunder Resistance Boost (L)
30,Stamina Use Reduced (L),Stamina Use Reduction Extended
31,Defense Up (L),Defense Up (XL)
32,Health Recovery (S),N/A
33,Health Recovery (M) + Antidote,N/A
34,Movement Speed Up,Attack Deflection Prevention
35,Stamina Use Reduced (L),Stamina Use Reduction Extended
36,Tool Use Drain Reduced (L),Tool Use Drain Reduction Extended
37,Stun Negated,Stun Negation Extended
38,Health Recovery (L),N/A
39,Earplugs (L),Earplugs (L) Extended
40,Stamina Use Reduced (L),Stamina Use Reduction Extended
41,All Wind Pressure Negated,All Wind Pressure Negation Extended
42,Ice Resistance Boost (L),Ice Resistance Boost (XL)
43,Attack Up (S),Attack Up (L)
44,Attack Up (S),Attack Up (L)
45,Attack Up (S),Attack Up (L)
46,Fire Resistance Boost (L),Fire Resistance Boost (XL)
47,Paralysis Negated,Paralysis Negation Extended
48,Water Resistance Boost (L),Water Resistance Boost (XL)
49,Dragon Resistance Boost (L),Dragon Resistance Boost (XL)
50,Attack Up (L),Attack Up (XL)
51,Health Boost (L),Health Boost Extended
52,Attack Up (L),Attack Up (XL)
53,Earplugs (S),Earplugs (S) Extended
54,Affinity Up (S) / Health Recovery (S),Affinity Up (L) / Health Recovery (S)
55,Abnormal Status Attack Up (S),Abnormal Status Attack Up (L)
56,Divine Protection,Divine Protection Extended
57,Attack and Defense Up (S),Attack and Defense Up (L)
58,Attack and Defense Up (S),Attack and Defense Up (L)
59,All Wind Pressure Negated,All Wind Pressure Negation Extended
60,Divine Protection,Divine Protection Extended
61,Thunder Resistance Boost (L),Thunder Resistance Boost (XL)
62,Elemental Attack Boost (S),Elemental Attack Boost (L)
63,Attack Up (L),Attack Up (XL)
64,Recovery Speed (L),Recovery Speed Extended
