base_name_en,notes
Self-improvement,PP
Self-improvement,WW
Attack Up (S),WRR
Attack Up (S),PRY
Attack Up (S),YPR
Attack Up (S),RYP
Attack Up (L),PRBP
Attack Up (L),PRGP
Attack Up (L),PRCP
Attack Up (L),POOR
Health Boost (S),RBW
Health Boost (L),RBRP
Stamina Use Reduced (S),WCB
Stamina Use Reduced (S),WYB
Stamina Use Reduced (S),WGB
Stamina Use Reduced (L),PCBC
Stamina Use Reduced (L),PYB
Stamina Use Reduced (L),PGBG
Stamina Use Reduced (L),POBO
Wind Pressure Negated,BBR
Wind Pressure Negated,BBG
Wind Pressure Negated,BBC
All Wind Pressure Negated,BBYP
All Wind Pressure Negated,BBO
Defense Up (S),WBB
Defense Up (L),PBBP
Tool Use Drain Reduced (S),WBC
Tool Use Drain Reduced (L),PBC
Health Rec. (S),WGW
Health Rec. (S),PGP
Health Rec. (L),GGPC
Health Rec. (S) + Antidote,GBWB
Health Rec. (M) + Antidote,GBPB
Recovery Speed (S),GGRW
Recovery Speed (S),GGY
Recovery Speed (L),GGRP
Earplugs (S),CCRW
Earplugs (S),CCRP
Earplugs (S),CCGW
Earplugs (L),CCGP
Earplugs (L),OOGP
Divine Protection,GYPY
Divine Protection,POPC
Scoutfly Power Up,CCC
Envir. Damage Negated,RRC
Stun Negated,CBP
Paralysis Negated,CYW
Paralysis Negated,CYP
Tremors Negated,CCY
Muck/Water/Deep Snow Res,CRC
Fire Res Boost (S),YRW
Fire Res Boost (L),YRP
Water Res Boost (S),YCW
Water Res Boost (L),YCP
Thunder Res Boost (S),YGW
Thunder Res Boost (L),YGP
Ice Res Boost (S),YBW
Ice Res Boost (L),YBP
Dragon Res Boost (S),WYC
Dragon Res Boost (L),PYC
Elemental Attack Boost,PGYG
Elemental Attack Boost,YCYC
Elemental Attack Boost,POYO
Blight Negated,OYYO
Sonic Waves,YYY
All Melody Effects Extended,ORO
Knockbacks Negated,RORP
Attack and Defense Up (S),OBPB
Attack and Defense Up (S),PBOO
Blight Res Up,YOP
Affinity Up and Health Rec. (S),GOPO
All Ailments Negated,CPOO
Earplugs (S) / Wind Pressure Negated,PYOY
Abnormal Status Atk. Increased,COOP
Health Recovery (M),GWCG
Impact Echo Wave,ER
"Echo Wave ""Dragon""",EO
Max Stamina Up + Recovery,EB
Extended Health Recovery,EG
Speed Boost + Evade Window Up,EC
Elemental Effectiveness Up,EY
